Название,Название Кратко,ИНН,адрес,lat,lon,Код оквэд,Основной вид деятельности,Ссылка
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРО-ВЕКТОР""",ООО АГРО-ВЕКТОР,7309004500,"433003, Ульяновская обл., Инзенский район, с. Панциревка, ул. Набережная, д. 1", 53.809645, 46.297054,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/ulyanovskaya-oblast-inzenski-raion/ooo-agro-vektor-inn-7309004500-ogrn-1137309000663-1dd31ed648184fcbb9c485d23037b6c3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВАЯ КОМПАНИЯ ОРЕХОВКА""",ООО ТКО,7315005301,"433904, Ульяновская обл., Радищевский район, с. Ореховка, пер. Кооперативный, д. 4 каб. 1", 52.939809, 48.211433,47.19,Торговля розничная прочая в неспециализированных магазинах,https://spark-interfax.ru/ulyanovskaya-oblast-radishchevski-raion/ooo-tko-inn-7315005301-ogrn-1047300670240-c664a593339b413b9dba6de05983475e
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПОТРЕБИТЕЛЬСКИЙ ПЕРЕРАБАТЫВАЮЩЕ-СБЫТОВОЙ КООПЕРАТИВ ""ФАБРИКА""",СППСК ФАБРИКА,7306041092,"433033, Ульяновская обл., Инзенский район, г. Инза, ул. Фрунзе, д. 2Л", 53.847763, 46.305972,01.4,Животноводство,https://spark-interfax.ru/ulyanovskaya-oblast-inzenski-raion/koop-fabrika-inn-7306041092-ogrn-1097306000560-6906d9a29eed226ae0531b9aa8c04bb6
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ СНАБЖЕНЧЕСКО-СБЫТОВОЙ ПЕРЕРАБАТЫВАЮЩИЙ ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""ЯКУШЕВ""",СССППК ЯКУШЕВ,1197325007263,"433534, Ульяновская обл., Мелекесский район, с. Никольское-На-Черемшане, ул. Дзержинского, д. 20", 54.053121, 49.180534,10.41,Производство масел и жиров,https://spark-interfax.ru/ulyanovskaya-oblast-melekesski-raion/koop-yakushev-inn-7329030516-ogrn-1197325007263-8675bbeea35d7b3be0531b9aa8c09754
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИТА ПЛЮС""",ООО ВИТА ПЛЮС,7313005987,"433760, Ульяновская обл., Кузоватовский район, рабочий пос. Кузоватово, ул. Советская, зд. 1", 53.548359, 47.669464,10.51,Производство молока (кроме сырого) и молочной продукции,https://spark-interfax.ru/ulyanovskaya-oblast-kuzovatovski-raion/ooo-vita-plyus-inn-7313005987-ogrn-1087313000642-7860eca81ae842508a8efe8a99efbf6e
"ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО УНДОРОВСКИЙ ЗАВОД МИНЕРАЛЬНОЙ ВОДЫ ""ВОЛЖАНКА""",ПО УЗМВ ВОЛЖАНКА,7321008082,"433340, Ульяновская обл, м.р-н Ульяновский, с.п. Ундоровское, с Ундоры, ул Советская, зд. 47, помещ. 1", 54.603050, 48.414612,11.07,Производство безалкогольных напитков; производство минеральных вод и прочих питьевых вод в бутылках,https://spark-interfax.ru/ulyanovskaya-oblast-ulyanovski-raion/pob-volzhanka-inn-7321008082-ogrn-1027301057772-6906d9a28719226ae0531b9aa8c04bb6
"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ТЕРРИТОРИАЛЬНОЕ ОБЩЕСТВЕННОЕ САМОУПРАВЛЕНИЕ ГОРОДА УЛЬЯНОВСКА ""ПОЛИВНО""",ТОС ПОЛИВНО,1197325008209,"432036, Ульяновская обл., г. Ульяновск, ул. Поливенская, д. 19", 54.310759, 48.364277,94.99,"Деятельность прочих общественных организаций и некоммерческих организаций, кроме религиозных и политических организаций",https://spark-interfax.ru/ulyanovskaya-oblast-ulyanovsk/tos-polivno-inn-7325165463-ogrn-1197325008209-878f5db2ba6b3da0e0531b9aa8c0f919
"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ СОВЕТ ДЕПУТАТОВ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ТЕРЕНЬГУЛЬСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ""",МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ СОВЕТ ДЕПУТАТОВ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ТЕРЕНЬГУЛЬСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ,1057321011417,"433360, Ульяновская обл., Тереньгульский район, рабочий пос. Тереньга, ул. Ульяновская, д. 26", 53.718101, 48.368524,84.11.35,Деятельность органов местного самоуправления городских округов,https://spark-interfax.ru/ulyanovskaya-oblast-terengulski-raion/mku-terengulskoe-gorodskoe-poselenie-inn-7321308914-ogrn-1057321011417-6906d9a2dc1b226ae0531b9aa8c04bb6
"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ СОВЕТ ДЕПУТАТОВ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""МОКРОБУГУРНИНСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ""",МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ СОВЕТ ДЕПУТАТОВ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ МОКРОБУГУРНИНСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ,1057321010592,"433602, Ульяновская обл., Цильнинский район, с. Мокрая Бугурна, ул. Суркова, д. 2", 54.672139, 48.043223,84.11.35,Деятельность органов местного самоуправления городских округов,https://spark-interfax.ru/ulyanovskaya-oblast-tsilninski-raion/mku-mokrobugurninskoe-selskoe-poselenie-inn-7321308819-ogrn-1057321010592-6906d9a2d767226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРЕК""",ОООИРЕК,7329022787,"433528, Ульяновская обл., Мелекесский район, с. Мордово-Озеро, ул. Молодежная, д. 2", 53.977266, 49.701815,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/ulyanovskaya-oblast-melekesski-raion/ooo-irek-inn-7329022787-ogrn-1167325071781-7fc389432c3a45c4a27d7957de341fdf
