Название,Название Кратко,ИНН,адрес,lat,lon,Код оквэд,Основной вид деятельности,Ссылка
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕСНОЙ МИР""",ООО ЛЕСНОЙ МИР,7309008015,"433010, Ульяновская обл., Инзенский район, с. Труслейка, ул. Советская, д. 26", 53.909223, 46.388904,02.20,Лесозаготовки,https://spark-interfax.ru/ulyanovskaya-oblast-inzenski-raion/ooo-lesnoi-mir-inn-7309008015-ogrn-1197325006933-8675bbee926e7b3be0531b9aa8c09754
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССТРОЙ""",ООО РУССТРОЙ,7313008160,"433910, Ульяновская обл., Радищевский район, рабочий пос. Радищево, ул. Заводская, д. 1", 52.861049, 47.879144,03.1,Рыболовство,https://spark-interfax.ru/ulyanovskaya-oblast-radishchevski-raion/ooo-russtroi-inn-7313008160-ogrn-1137313000461-a4783b590d314b1f9eb1fedfcc5c7f00
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВМОЛДОМ""",ООО НОВМОЛДОМ,7313003718,"433876, Ульяновская обл., Новоспасский район, с. Троицкий Сунгур, ул. Молодежная, д. 7А", 53.290069, 47.632510,10.51.1,Производство питьевого молока и питьевых сливок,https://spark-interfax.ru/ulyanovskaya-oblast-novospasski-raion/ooo-novmoldom-inn-7313003718-ogrn-1037300600677-59ed68608b1546dea65407b46d67be5a
"МЕСТНАЯ МУСУЛЬМАНСКАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ""МАХАЛЛЯ"" ПОС. НОВОСЕЛКИ МЕЛЕКЕССКОГО РАЙОНА УЛЬЯНОВСКОЙ ОБЛАСТИ РЕГИОНАЛЬНОГО ДУХОВНОГО УПРАВЛЕНИЯ МУСУЛЬМАН УЛЬЯНОВСКОЙ ОБЛАСТИ В СОСТАВЕ ЦЕНТРАЛЬНОГО ДУХОВНОГО УПРАВЛЕНИЯ МУСУЛЬМАН РОССИИ",МЕСТНАЯ МУСУЛЬМАНСКАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ МАХАЛЛЯ ПОС. НОВОСЕЛКИ МЕЛЕКЕССКОГО РАЙОНА УЛЬЯНОВСКОЙ ОБЛАСТИ РЕГИОНАЛЬНОГО ДУХОВНОГО УПРАВЛЕНИЯ МУСУЛЬМАН УЛЬЯНОВСКОЙ ОБЛАСТИ В СОСТАВЕ ЦЕНТРАЛЬНОГО ДУХОВНОГО УПРАВЛЕНИЯ МУСУЛЬМАН РОССИИ,1137300000815,"433529, Ульяновская обл., Мелекесский район, пос. Новоселки, ул. Гагарина, д. 7А", 53.906840, 49.774008,94.91,Деятельность религиозных организаций,https://spark-interfax.ru/ulyanovskaya-oblast-melekesski-raion/ro-makhallya-pos-novoselki-melekesskogo-raiona-ulyanovskoi-oblasti-regionalnogo-dukhovnogo-upravleniya-musulman-ulyanovskoi-ob-6906d9a30a60226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВОСЕЛЬСКОЕ""",ООО НОВОСЕЛЬСКОЕ,7316005544,"433387, Ульяновская обл., Сенгилеевский район, с. Новая Слобода, ул. Первомайская, д. 87", 53.940929, 48.770252,01.11.1,Выращивание зерновых культур,https://spark-interfax.ru/ulyanovskaya-oblast-sengileevski-raion/ooo-novoselskoe-inn-7316005544-ogrn-1037300740278-1fcaf00f02f04f22907de39cdafb10e2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЛГА - АГРО""",ООО ВОЛГА - АГРО,7315905246,"433901, Ульяновская обл., Радищевский район, с. Вязовка", 52.856351, 48.372133,01.11.1,Выращивание зерновых культур,https://spark-interfax.ru/ulyanovskaya-oblast-radishchevski-raion/ooo-volga-agro-inn-7315905246-ogrn-1067313006628-5b4ddcd7d66742078167dbeb11b5eb1d
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОФИРМА ""КУЛАТКА""",ООО АГРОФИРМА КУЛАТКА,7313012448,"433940, Ульяновская обл., Старокулаткинский район, рабочий пос. Старая Кулатка, ул. Пугачева, зд. 102", 52.716915, 47.600718,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/ulyanovskaya-oblast-starokulatkinski-raion/ooo-agrofirma-kulatka-inn-7313012448-ogrn-1187325011411-6fe88362b6cd60e5e0531b9aa8c06bd2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУРСКАГРОПРОДУКТ""",ООО СУРСКАГРОПРОДУКТ,7309006096,"433240, Ульяновская обл., Сурский район, рабочий пос. Сурское, пер. Ленина 5-Й, д. 3", 54.480758, 46.701736,01.41,"Разведение молочного крупного рогатого скота, производство сырого молока",https://spark-interfax.ru/ulyanovskaya-oblast-surski-raion/ooo-surskagroprodukt-inn-7309006096-ogrn-1167309050050-f6cb02940a224a1e9cd0f7172b0ede89
"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ТЕРРИТОРИАЛЬНОЕ ОБЩЕСТВЕННОЕ САМОУПРАВЛЕНИЕ СЕЛА АБДРЕЕВО ВЫСОКОКОЛКОВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ НОВОМАЛЫКЛИНСКОГО РАЙОНА УЛЬЯНОВСКОЙ ОБЛАСТИ ""АБДРЕЕВО""",ТОС АБДРЕЕВО,1177325020344,"433567, Ульяновская обл., Новомалыклинский район, с. Абдреево, ул. 50 Лет Победы, д. 63", 54.018904, 50.031265,94.99,"Деятельность прочих общественных организаций и некоммерческих организаций, кроме религиозных и политических организаций",https://spark-interfax.ru/ulyanovskaya-oblast-novomalyklinski-raion/oo-abdreevo-inn-7329026118-ogrn-1177325020344-6906d9a3269c226ae0531b9aa8c04bb6
МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ СОВЕТ ДЕПУТАТОВ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ НОВОПОГОРЕЛОВСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ УЛЬЯНОВСКОЙ ОБЛАСТИ,СОВЕТ ДЕПУТАТОВ НОВОПОГОРЕЛОВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ,1057309008745,"433222, Ульяновская обл., Карсунский район, с. Новое Погорелово", 54.149832, 46.791313,84.11.35,Деятельность органов местного самоуправления городских округов,https://spark-interfax.ru/ulyanovskaya-oblast-karsunski-raion/mku-sovet-deputatov-novopogorelovskogo-selskogo-poseleniya-inn-7309902159-ogrn-1057309008745-6906d9a2f6d0226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОЛОК""",ООО КОЛОК,7310101604,"433565, Ульяновская обл., Новомалыклинский район, с. Высокий Колок, ул. Молодежная, д. 23 офис 2", 54.073549, 50.102853,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/ulyanovskaya-oblast-novomalyklinski-raion/ooo-kolok-inn-7310101604-ogrn-1067310025749-6722d1b728ba41919a308c6d5ababc02
"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ТЕРРИТОРИАЛЬНОЕ ОБЩЕСТВЕННОЕ САМОУПРАВЛЕНИЕ ""ДРУЖНЫЙ"" ПОСЕЛКА ЗАЛЕСНЫЙ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ВЕШКАЙМСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ"" ВЕШКАЙМСКОГО РАЙОНА УЛЬЯНОВСКОЙ ОБЛАСТИ",ТОС ДРУЖНЫЙ,1197325009210,"433104, Ульяновская обл., Вешкаймский район, пос. Залесный, ул. Советская, д. 14", 54.021519, 47.048103,94.99,"Деятельность прочих общественных организаций и некоммерческих организаций, кроме религиозных и политических организаций",https://spark-interfax.ru/ulyanovskaya-oblast-veshkaimski-raion/tos-druzhny-inn-7309008093-ogrn-1197325009210-89c2a14168a2631be0531b9aa8c0a44f
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ЗАГОТОВИТЕЛЬНЫЙ, ПЕРЕРАБАТЫВАЮЩИЙ, СБЫТОВОЙ ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""ВЕСНА""",СПК ВЕСНА,1137325004651,"433310, Ульяновская обл, м.р-н Ульяновский, г.п. Ишеевское, рп Ишеевка, ул Ленина, д. 31, помещ. 11", 54.430963, 48.257644,10.39,Прочие виды переработки и консервирования фруктов и овощей,https://spark-interfax.ru/ulyanovskaya-oblast-ulyanovski-raion/koop-vesna-inn-7325122685-ogrn-1137325004651-6906d9a30a39226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЭС""",ООО КЭС,6319116787,"443050, Самарская обл., г. Самара, шоссе Смышляевское, д. 1А офис 117", 53.234541, 50.315047,81.22,Деятельность по чистке и уборке жилых зданий и нежилых помещений прочая,https://spark-interfax.ru/samarskaya-oblast-samara/ooo-kes-inn-6319116787-ogrn-1056319040733-6178895dfb357e1ce0531b9aa8c027ab
"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ТЕРРИТОРИАЛЬНОЕ ОБЩЕСТВЕННОЕ САМОУПРАВЛЕНИЕ ""ЖИВАЙКИНО"" СЕЛА ЖИВАЙКИНО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ЖИВАЙКИНСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ"" БАРЫШСКОГО РАЙОНА УЛЬЯНОВСКОЙ ОБЛАСТИ",ТОС ЖИВАЙКИНО,1197325012763,"433737, Ульяновская обл., Барышский район, с. Живайкино, ул. Советская, д. 41", 53.480110, 47.119295,88.99,"Предоставление прочих социальных услуг без обеспечения проживания, не включенных в другие группировки",https://spark-interfax.ru/ulyanovskaya-oblast-baryshski-raion/tos-zhivaikino-inn-7309008230-ogrn-1197325012763-8f42ca1335725995e0531b9aa8c0db7f
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮГРА""",ООО ЮГРА,7308005276,"433779, Ульяновская обл., Кузоватовский район, с. Хвостиха", 53.791148, 47.896280,01.1,Выращивание однолетних культур,https://spark-interfax.ru/ulyanovskaya-oblast-kuzovatovski-raion/ooo-yugra-inn-7308005276-ogrn-1057313002823-dbcb6f5b0d2b468b99c9d835163ce0ee
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПОТРЕБИТЕЛЬСКИЙ СМЕШАННЫЙ (КОМПЛЕКСНЫЙ) КООПЕРАТИВ ""ТЕРЕНЬГУЛЬСКИЙ КОМБИНАТ ФЕРМЕРСКИХ ЭКОПРОДУКТОВ ""КРАСНАЯ ЗВЕЗДА""",СПСК ТЕРЕНЬГУЛЬСКИЙ КОМБИНАТ ФЕРМЕРСКИХ ЭКОПРОДУКТОВ КРАСНАЯ ЗВЕЗДА,1187325014436,"433369, Ульяновская обл., Тереньгульский район, с. Сосновка, ул. Степная, д. 7 кв. 1", 53.609827, 48.145186,01.62,Предоставление услуг в области животноводства,https://spark-interfax.ru/ulyanovskaya-oblast-terengulski-raion/pk-terengulski-kombinat-fermerskikh-ekoproduktov-krasnaya-zvezda-inn-7321005780-ogrn-1187325014436-73c23cbaba45408fe0531b9aa8c01aa5
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИМБИРСКСТРОЙСНАБ""",ООО СИМБИРСКСТРОЙСНАБ,7325103837,"433030, Ульяновская обл., Инзенский район, г. Инза, ул. Дорожная, д. 1А каб. 3", 53.857111, 46.374290,08.11,"Добыча декоративного и строительного камня, известняка, гипса, мела и сланцев",https://spark-interfax.ru/ulyanovskaya-oblast-inzenski-raion/ooo-simbirskstroisnab-inn-7325103837-ogrn-1117325002519-c9533570f2c3428ba90df286c69edeb4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЛЬСКИЙ""",ООО ВОЛЬСКИЙ,7321002926,"433621, Ульяновская обл., Цильнинский район, с. Малое Нагаткино, ул. Зеленая, д. 15", 54.629477, 47.898528,01.11.1,Выращивание зерновых культур,https://spark-interfax.ru/ulyanovskaya-oblast-tsilninski-raion/ooo-volski-inn-7321002926-ogrn-1177325006484-0ee23cae1c9b4c1e8a9be8fa400a9561
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЛИН""",ООО КЛИН,7311005660,"433973, Ульяновская обл., Павловский район, с. Шалкино", 52.625364, 47.058904,01.11.1,Выращивание зерновых культур,https://spark-interfax.ru/ulyanovskaya-oblast-pavlovski-raion/ooo-klin-inn-7311005660-ogrn-1057311009502-cefe02e05d0b43b78dfbaa5054692398
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОВОЛЖСКАЯ АГРО КОМПАНИЯ""",ООО ПАК,7309904396,"433113, Ульяновская обл., Вешкаймский район, с. Каргино, ул. Молодежная, д. 22", 53.918030, 47.080620,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/ulyanovskaya-oblast-veshkaimski-raion/ooo-pak-inn-7309904396-ogrn-1077309000834-118ea312bf864d2ca8730b93a57ae143
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРПОВСКОЕ""",ООО КАРПОВСКОЕ,5805007086,"442874, Пензенская обл., Сердобский район, с. Карповка, ул. Ленинградская, д. 5", 52.471748, 44.069637,01.19.1,Выращивание однолетних кормовых культур,https://spark-interfax.ru/penzenskaya-oblast-serdobski-raion/ooo-karpovskoe-inn-5805007086-ogrn-1025800598339-0367c0a9d5b04b4ba5177d1f488af12f
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПОТРЕБИТЕЛЬСКИЙ ПЕРЕРАБАТЫВАЮЩИЙ КООПЕРАТИВ ""ОЗЁРСКИЙ""",СППК ОЗЁРСКИЙ,5809261502,"442760, Пензенская обл., Бессоновский район, с. Вазерки, ул. Басулина, д. 203", 53.439223, 45.088818,10.11,Переработка и консервирование мяса,https://spark-interfax.ru/penzenskaya-oblast-bessonovski-raion/koop-ozerski-inn-5809261502-ogrn-1095809003476-6906d991a5b6226ae0531b9aa8c04bb6
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""ВИТА""",СПК ВИТА,5827000648,"442151, Пензенская обл., Нижнеломовский район, с. Норовка, ул. Молодежная, д. 2", 53.535589, 43.636137,52.10,Деятельность по складированию и хранению,https://spark-interfax.ru/penzenskaya-oblast-nizhnelomovski-raion/koop-vita-inn-5827000648-ogrn-1155827001120-6906d991d2bb226ae0531b9aa8c04bb6
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПОТРЕБИТЕЛЬСКИЙ ПЕРЕРАБАТЫВАЮЩИЙ СБЫТОВОЙ КООПЕРАТИВ ""ИВУШКА""",СППСК ИВУШКА,5831901349,"442576, Пензенская обл., Сосновоборский район, с. Шкудим, ул. Сосновая, д. 21", 53.379343, 46.450695,10.31,Переработка и консервирование картофеля,https://spark-interfax.ru/penzenskaya-oblast-sosnovoborski-raion/koop-ivushka-inn-5831901349-ogrn-1145826000297-6906d991cbce226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БОЛЬШАК""",ООО БОЛЬШАК,5816002925,"442465, Пензенская обл., Камешкирский район, с. Новое Шаткино, ул. Гагарина, д. 2", 52.913596, 46.226338,01.50,Смешанное сельское хозяйство,https://spark-interfax.ru/penzenskaya-oblast-kameshkirski-raion/ooo-bolshak-inn-5816002925-ogrn-1065803013825-61788992191f7e1ce0531b9aa8c027ab
"СНАБЖЕНЧЕСКО-СБЫТОВОЙ-ПЕРЕРАБАТЫВАЮЩИЙ СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""ХОПЕР""",ССПСПК ХОПЕР,5817005020,"442830, Пензенская обл., рабочий пос. Колышлей, ул. Московская, д. 20 к. 0 кв. 0", 52.698099, 44.529648,73.20,Исследование конъюнктуры рынка и изучение общественного мнения,https://spark-interfax.ru/penzenskaya-oblast-kolyshleiski-raion/pk-khoper-inn-5817005020-ogrn-1075805000347-6906d9919475226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРВАЯ КРУПЯНАЯ КОМПАНИЯ""",ООО ПЕРВАЯ КРУПЯНАЯ КОМПАНИЯ,5406163478,"630541, Новосибирская обл., Новосибирский район, пос. Элитный, ул. Липовая, д. 10", 54.919681, 82.940280,10.61.3,Производство крупы и гранул из зерновых культур,https://spark-interfax.ru/novosibirskaya-oblast-novosibirski-raion/ooo-pervaya-krupyanaya-kompaniya-inn-5406163478-ogrn-1025402488143-2bb821ba0b8d42cba968281e199eb7f9
"КРЕСТЬЯНСКОЕ (ФЕРМЕРСКОЕ) ХОЗЯЙСТВО ""ЗАРЯ""",К(Ф)Х ЗАРЯ,99999,"442371, Пензенская обл., рабочий пос. Мокшан, ул. Кирпичная, д. 18", 53.447581, 44.613695,99999,99999,https://spark-interfax.ru/penzenskaya-oblast-bessonovski-raion/zarya-inn-5823001383-ogrn-1025800898188-617889923b327e1ce0531b9aa8c027ab
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ САНАТОРИЙ ""НАДЕЖДА""",ООО САНАТОРИЙ НАДЕЖДА,5819000274,"442507, Пензенская обл., Кузнецкий район, с. Ульяновка, ул. Ленинская, д. 216", 53.101130, 46.747848,86.90.4,Деятельность санаторно-курортных организаций,https://spark-interfax.ru/penzenskaya-oblast-kuznetski-raion/ooo-nadezhda-inn-5819000274-ogrn-1025800551556-62d9b315d4f3406b983c7ac92cfd74d5
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""САЛМОВКА""",СПК САЛМОВКА,5814002126,"442714, Пензенская обл., Иссинский район, с. Верхняя Салмовка, ул. Демократическая, д. 42", 53.892988, 44.680709,01.11.1,Выращивание зерновых культур,https://spark-interfax.ru/penzenskaya-oblast-issinski-raion/koop-salmovka-inn-5814002126-ogrn-1025800857950-d5dc32116faa480990a9960831c4f258
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙСЕРВИС""",ООО СТРОЙСЕРВИС,0505006692,"368060, Дагестан респ., Бабаюртовский район, с. Бабаюрт, ул. Октябрьская, д. 3", 43.600406, 46.777501,41.2,Строительство жилых и нежилых зданий,https://spark-interfax.ru/dagestan-respublika-babayurtovski-raion/ooo-stroiservis-inn-505006692-ogrn-1030501098363-630d817286124803abaf9a85263438cc
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""ГРИГОРЬЕВСКИЙ""",СПК ГРИГОРЬЕВСКИЙ,5832005056,"442912, Пензенская обл., Тамалинский район, с. Григорьевка, ул. Северная, д. 17", 52.771511, 43.601074,01.4,Животноводство,https://spark-interfax.ru/penzenskaya-oblast-tamalinski-raion/koop-grigorevski-inn-5832005056-ogrn-1095802001371-6906d991a7b7226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР КЛАСТЕРНОГО РАЗВИТИЯ""",ООО ЦКР,5836681979,"440026, Пензенская обл, г.о. город Пенза, г Пенза, ул Володарского, стр. 2", 53.186055, 45.010921,82.30,Деятельность по организации конференций и выставок,https://spark-interfax.ru/penzenskaya-oblast-penza/ooo-tskr-inn-5836681979-ogrn-1175835006071-d32d22db235a425d9d9a4e95a1ee1b65
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОГРЕСС ПЛЮС""",ООО ПРОГРЕСС ПЛЮС,5603030170,"461048, Оренбургская обл, г.о. город Бузулук, г Бузулук, ул Заречная, двлд. 12", 52.815976, 52.248602,01.70,"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",https://spark-interfax.ru/orenburgskaya-oblast-buzuluk/ooo-progress-plyus-inn-5603030170-ogrn-1075658015421-4203d52aa81347a394c861e7fc2e1186
