Название,Название Кратко,ИНН,адрес,lat,lon,Код оквэд,Основной вид деятельности,Ссылка
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕГАФЕРМА""",ООО МЕГАФЕРМА,5803017427,"442529, Пензенская обл., Кузнецкий район, с. Татарский Канадей, ул. Школьная, зд. 43Б", 53.097520, 46.918893,01.41.11,"Разведение молочного крупного рогатого скота, кроме племенного",https://spark-interfax.ru/penzenskaya-oblast-kuznetski-raion/ooo-megaferma-inn-5803017427-ogrn-1075803000481-abde51bacc914d69bbedd13b58d5946b
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАЧЕЛМСКОЕ ХОЗЯЙСТВО""",ООО ПАЧЕЛМСКОЕ ХОЗЯЙСТВО,5828901130,"440052, Пензенская обл, г.о. город Пенза, г Пенза, ул Свердлова, стр. 2И, помещ. 4, офис 318", 53.173788, 45.018933,01.41.21,Производство сырого коровьего молока,https://spark-interfax.ru/penzenskaya-oblast-penza/ooo-pachelmskoe-khozyaistvo-inn-5828901130-ogrn-1115835005263-c35614191f9046419e2ccfc1b80812af
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ПЕНЗЕНСКИЙ БАЗОВЫЙ МЕДИЦИНСКИЙ КОЛЛЕДЖ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",ФГБ ПОУ ПМК МИНЗДРАВА РОССИИ,1025801358220,"440026, Пензенская обл., г. Пенза, ул. Карла Маркса, д. 8/60", 53.186650, 45.006260,85.21,Образование профессиональное среднее,https://spark-interfax.ru/penzenskaya-oblast-penza/fgbu-pmk-minzdrava-rossii-inn-5836010434-ogrn-1025801358220-6906d9917436226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕРТУНОВСКОЕ""",ООО ВЕРТУНОВСКОЕ,5808004291,"442930, Пензенская обл., Бековский район, с. Вертуновка, ул. Новки, стр. 121", 52.440406, 43.584033,01.13.51,Выращивание сахарной свеклы,https://spark-interfax.ru/penzenskaya-oblast-bekovski-raion/ooo-vertunovskoe-inn-5808004291-ogrn-1085805000522-20f16781e5c04111904bc11cf3b92d01
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБЛАСТНАЯ ГАЗОЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""",АО ОГЭК,5800012540,"440008, Пензенская обл, г.о. город Пенза, г Пенза, ул Новый Кавказ, д. 4", 53.199146, 44.997419,68.32,Управление недвижимым имуществом за вознаграждение или на договорной основе,https://spark-interfax.ru/penzenskaya-oblast-penza/ao-ogek-inn-5800012540-ogrn-1255800000686-6906d991485c226ae0531b9aa8c04bb6
"КОЛХОЗ ""ИМЕНИ КИРОВА""",К-З ИМ. КИРОВА,5832000749,"442910, Пензенская обл., Тамалинский район, с. Вишневое, ул. Центральная, д. 13", 52.640521, 43.449975,01.11.1,Выращивание зерновых культур,https://spark-interfax.ru/penzenskaya-oblast-tamalinski-raion/kolkhoz-im-kirova-inn-5832000749-ogrn-1025801072813-9303c4851c5940d086a6171830c79665
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕКТОР""",ООО ВЕКТОР,5806004225,"442051, Пензенская обл., Башмаковский район, с. Высокое, ул. Центральная, д. 12", 53.130056, 42.821583,01.11.1,Выращивание зерновых культур,https://spark-interfax.ru/penzenskaya-oblast-bashmakovski-raion/ooo-vektor-inn-5806004225-ogrn-1055800800483-592a892ce1804012b5c0a1fc22fbdf40
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПЕРЕРАБАТЫВАЮЩЕ-СБЫТОВОЙ ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""ВОСКРЕСНЫЙ""",СПСПКВОСКРЕСНЫЙ,5805012103,"442894, Пензенская обл., г. Сердобск, ул. Светлая, д. 6 кв. 88", 52.459553, 44.244594,01.41,"Разведение молочного крупного рогатого скота, производство сырого молока",https://spark-interfax.ru/penzenskaya-oblast-serdobski-raion/koop-voskresny-inn-5805012103-ogrn-1115805002125-6906d991b8d8226ae0531b9aa8c04bb6
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""СЕВЕРНЫЙ""",СПК СЕВЕРНЫЙ,5823350715,"442374, Пензенская обл., Мокшанский район, с. Юлово, ул. Хинева Гора, д. 4", 53.620382, 44.601008,01.13.3,Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,https://spark-interfax.ru/penzenskaya-oblast-mokshanski-raion/koop-severny-inn-5823350715-ogrn-1105809000285-47ae2e37dd2942e7adee0d914926bffb
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР ДЕТСКОГО ФИЗКУЛЬТУРНО-ОЗДОРОВИТЕЛЬНОГО И ТВОРЧЕСКОГО РАЗВИТИЯ ""НОВОЕ ПОКОЛЕНИЕ""",АНО ЦЕНТР НОВОЕ ПОКОЛЕНИЕ,1127300000013,"432044, Ульяновская обл., г. Ульяновск, ул. Хрустальная, д. 62 офис 189", 54.252481, 48.333480,55.90,Деятельность по предоставлению прочих мест для временного проживания,https://spark-interfax.ru/ulyanovskaya-oblast-ulyanovsk/ano-tsentr-novoe-pokolenie-inn-7326999038-ogrn-1127300000013-6906d9a2b10b226ae0531b9aa8c04bb6
