Название,Название Кратко,ИНН,адрес,lat,lon,Код оквэд,Основной вид деятельности,Ссылка
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТ-ЦЕНТР""",ООО АРТ-ЦЕНТР,6324070739,"445019, Самарская обл., г. Тольятти, проезд 8 Марта, д. 19", 53.523450, 49.412398,88.10,Предоставление социальных услуг без обеспечения проживания престарелым и инвалидам,https://spark-interfax.ru/samarskaya-oblast-tolyatti/ooo-art-tsentr-inn-6324070739-ogrn-1166313081857-1b835113c9ee46d6a642932aa95ab4f5
"ЧАСТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД ""РОМАШКА""",ЧДОУ ДЕТСКИЙ САД РОМАШКА,1176313071065,"445143, Самарская обл., Ставропольский район, с. Подстепки, пер. Проездной, д. 2", 53.519875, 49.144983,85.11,Образование дошкольное,https://spark-interfax.ru/samarskaya-oblast-stavropolski-raion/uch-detski-sad-romashka-inn-6382075574-ogrn-1176313071065-6906d95a09aa226ae0531b9aa8c04bb6
"КРЕСТЬЯНСКОЕ (ФЕРМЕРСКОЕ) ХОЗЯЙСТВО ""БОГОРОДСКОЕ""",КФХ БОГОРОДСКОЕ,1216300041044,"445165, Самарская обл, м.р-н Ставропольский, с.п. Осиновка, с Винновка, ул Казачкова, д. 24", 53.190265, 49.687584,01.41.1,Разведение молочного крупного рогатого скота,https://spark-interfax.ru/samarskaya-oblast-stavropolski-raion/kfkh-bogorodskoe-inn-6382084811-ogrn-1216300041044-cb37bb0a6b376776e053219aa8c0d9e6
"КРЕСТЬЯНСКОЕ (ФЕРМЕРСКОЕ) ХОЗЯЙСТВО ""ЯГОДНАЯ СЛОБОДА""",КФХ ЯГОДНАЯ СЛОБОДА,1226300012080,"446660, Самарская обл, м.р-н Борский, с.п. Борское, с Борское, ул Солнечная, двлд. 13", 53.030494, 51.684584,01.25.1,Выращивание прочих плодовых и ягодных культур,https://spark-interfax.ru/samarskaya-oblast-borski-raion/kfkh-yagodnaya-sloboda-inn-6377017143-ogrn-1226300012080-da9e8c7a6fae53a5e053259aa8c0d7ff
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗОДИАК-М""",ООО ЗОДИАК-М,6312045382,"443091, Самарская обл., г. Самара, проспект Карла Маркса, д. 412", 53.242865, 50.243709,10.13,Производство продукции из мяса убойных животных и мяса птицы,https://spark-interfax.ru/samarskaya-oblast-samara/ooo-zodiak-m-inn-6312045382-ogrn-1026300766788-9f0cb90beaf946e9afea45290e1f68c4
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЯЖМАШ""",АО ТЯЖМАШ,6325000660,"446010, Самарская обл., г. Сызрань, ул. Гидротурбинная, зд. 13", 53.178413, 48.493197,25.62,Обработка металлических изделий механическая,https://spark-interfax.ru/samarskaya-oblast-syzran/ao-tyazhmash-inn-6325000660-ogrn-1026303055217-f3aef46838594926924433c4eef4a730
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САМАРСКИЙ ГИПСОВЫЙ КОМБИНАТ""",АО СГК,6319009009,"443052, Самарская обл., г. Самара, ул. Береговая, д. 9А", 53.205753, 50.302139,23.52.2,Производство гипса,https://spark-interfax.ru/samarskaya-oblast-samara/ao-sgk-inn-6319009009-ogrn-1026301697311-6d72cff2e30841b0bcbe6c8493410e58
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕГАС-АГРО""",ООО ПЕГАС-АГРО,6330041285,"443528, Самарская обл., Волжский район, пгт. Стройкерамика, тер. Животноводческая Ферма", 53.270256, 50.397645,28.30,Производство машин и оборудования для сельского и лесного хозяйства,https://spark-interfax.ru/samarskaya-oblast-volzhski-raion/ooo-pegas-agro-inn-6330041285-ogrn-1106330001271-08f1055ceb4743cbb15605d6e21e6f91
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАКЕТНО-КОСМИЧЕСКИЙ ЦЕНТР ""ПРОГРЕСС""",АО РКЦ ПРОГРЕСС,6312139922,"443009, Самарская обл., г. Самара, ул. Земеца, д. 18", 53.216866, 50.292434,72.19,Научные исследования и разработки в области естественных и технических наук прочие,https://spark-interfax.ru/samarskaya-oblast-samara/ao-rkts-progress-inn-6312139922-ogrn-1146312005344-9da06c7027304ffca120a7f4fca9af0b
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМ-ТЕХНИКА""",АО АМ-ТЕХНИКА,6317033655,"443044, Самарская обл., г. Самара, пос. Зубчаниновка, ул. Магистральная, д. 80 литера Г", 53.256167, 50.310252,28.30.3,Производство машин и сельскохозяйственного оборудования для обработки почвы,https://spark-interfax.ru/samarskaya-oblast-samara/ao-am-tekhnika-inn-6317033655-ogrn-1026301415568-94c078d6b5544157b402dfbd4986323a
