Название,Название Кратко,ИНН,адрес,lat,lon,Код оквэд,Основной вид деятельности,Ссылка
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЕЛАНЬ-КОЛЕНОВСКИЙ САХАРНЫЙ ЗАВОД""",АО ЕКСЗ,3617006819,"397431, Воронежская обл., Новохоперский район, рабочий пос. Елань-Коленовский, проспект Кольцова, д. 1", 51.174239, 41.154606,10.81,Производство сахара,https://spark-interfax.ru/voronezhskaya-oblast-novokhoperski-raion/ao-eksz-inn-3617006819-ogrn-1033690000805-81c9cd4bcead4282802a59d5c4cbcf4d
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАНАМЕРА""",ООО ПАНАМЕРА,3666195301,"394087, Воронежская обл., г. Воронеж, ул. Ломоносова, д. 114/6 кв. 77", 51.728038, 39.205302,41.20,Строительство жилых и нежилых зданий,https://spark-interfax.ru/voronezhskaya-oblast-voronezh/ooo-panamera-inn-3666195301-ogrn-1143668054606-9496f70b4be74f71b8b113ba927de648
"ВОРОНЕЖСКАЯ ОБЛАСТНАЯ ОРГАНИЗАЦИЯ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ВСЕРОССИЙСКОЕ ОБЩЕСТВО ИНВАЛИДОВ""",ВОРОНЕЖСКАЯ ОБЛАСТНАЯ ОРГАНИЗАЦИЯ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ВСЕРОССИЙСКОЕ ОБЩЕСТВО ИНВАЛИДОВ,1033692002827,"394069, Воронежская обл., г. Воронеж, ул. Ворошилова, д. 14 офис 17", 51.656028, 39.178179,94.99,"Деятельность прочих общественных организаций и некоммерческих организаций, кроме религиозных и политических организаций",https://spark-interfax.ru/voronezhskaya-oblast-voronezh/oo-vserossiskoe-obshchestvo-invalidov-inn-3664011460-ogrn-1033692002827-6906d94bdef1226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЭЛЕВАТОР ""КОММОДИТИ КОЛОДЕЗНОЕ""",ООО ЭЛЕВАТОР КОММОДИТИ КОЛОДЕЗНОЕ,3613004627,"396340, Воронежская обл., Каширский район, пос. Колодезный, ул. Октября, д. 1 офис 1", 51.347439, 39.308252,52.10.3,Хранение и складирование зерна,https://spark-interfax.ru/voronezhskaya-oblast-kashirski-raion/ooo-kommoditi-kolodeznoe-inn-3613004627-ogrn-1153668029184-d8fd776818d94e509808033af01066ed
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТУДИЯ ""ТЕЛЕМОСТ""",ООО СТУДИЯ ТЕЛЕМОСТ,3666077315,"394030, Воронежская обл, г.о. город Воронеж, г Воронеж, ул Плехановская, д. 66Б, офис 204", 51.676078, 39.185860,59.11,"Производство кинофильмов, видеофильмов и телевизионных программ",https://spark-interfax.ru/voronezhskaya-oblast-voronezh/ooo-studiya-telemost-inn-3666077315-ogrn-1033600046050-9d6f9ce6a4954aaf978cab1ef2c7d425
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЗА""",ООО БАЗА,3662217963,"397964, Воронежская обл, м.р-н Лискинский, с.п. Среднеикорецкое, с Средний Икорец, ул Курортная, зд. 1, помещ. 44", 51.066948, 39.754356,68.20,Аренда и управление собственным или арендованным недвижимым имуществом,https://spark-interfax.ru/voronezhskaya-oblast-liskinski-raion/ooo-baza-inn-3662217963-ogrn-1153668062140-32acab6be1eb4ce4b2d46190c3297e95
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАДАГАСКАР""",ООО МАДАГАСКАР,3628019753,"396947, Воронежская обл, м.р-н Семилукский, с.п. Губарёвское, п совхоза ""Раздолье"", ул Стародорожная, д. 15В", 51.791540, 39.013197,93.29,Деятельность по организации отдыха и развлечений прочая,https://spark-interfax.ru/voronezhskaya-oblast-semilukski-raion/ooo-madagaskar-inn-3628019753-ogrn-1183668033010-744ebcc380237adbe0531b9aa8c0433f
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ЭКСПЕРТИЗЫ № 1""",ООО ЦЕНТР ЭКСПЕРТИЗЫ № 1,3664251977,"394052, Воронежская обл, г.о. город Воронеж, г Воронеж, ул Краснознаменная, д. 61, офис 1", 51.646885, 39.184947,74.90,"Деятельность профессиональная, научная и техническая прочая, не включенная в другие группировки",https://spark-interfax.ru/voronezhskaya-oblast-voronezh/ooo-tsentr-ekspertizy-n-inn-3664251977-ogrn-1223600004638-dbb835c83cd5681fe053259aa8c0aaac
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАСТОЧКА""",ООО ЛАСТОЧКА,3665079574,"394038, Воронежская обл., г. Воронеж, ул. Космонавтов, д. 2И офис 3", 51.666575, 39.150254,55.10,Деятельность гостиниц и прочих мест для временного проживания,https://spark-interfax.ru/voronezhskaya-oblast-voronezh/ooo-lastochka-inn-3665079574-ogrn-1103668029046-3d9b93db735d42c38aa5466d2da76ce6
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ВОРОНЕЖСКИЙ ИСТОРИКО-ТУРИСТИЧЕСКИЙ ЦЕНТР ""ПЕТРОВСКИЕ КОРАБЛИ""",АНО ВИТЦ ПЕТРОВСКИЕ КОРАБЛИ,1173600010770,"394006, Воронежская обл., г. Воронеж, ул. Свободы, д. 59", 51.661546, 39.188427,82.30,Деятельность по организации конференций и выставок,https://spark-interfax.ru/voronezhskaya-oblast-voronezh/ano-vitts-petrovskie-korabli-inn-3664232413-ogrn-1173600010770-6906d94ceea4226ae0531b9aa8c04bb6
