Название,Название Кратко,ИНН,адрес,lat,lon,Код оквэд,Основной вид деятельности,Ссылка
"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ МОРДОВИЯ ""ТОРБЕЕВСКИЙ КОЛЛЕДЖ МЯСНОЙ И МОЛОЧНОЙ ПРОМЫШЛЕННОСТИ ИМ. Ю.В. ТУТУКОВА""",ГБПОУ РМ ТОРБЕЕВСКИЙ КОЛЛЕДЖ МЯСНОЙ И МОЛОЧНОЙ ПРОМЫШЛЕННОСТИ ИМ. Ю.В. ТУТУКОВА,1021300659841,"431030, Мордовия респ., Торбеевский район, рабочий пос. Торбеево, ул. Студенческая, д. 45", 54.077646, 43.241006,85.21,Образование профессиональное среднее,https://spark-interfax.ru/mordoviya-respublika-torbeevski-raion/gbu-torbeevski-kolledzh-myasnoi-i-molochnoi-promyshlennosti-im-yu-v-tutukova-inn-1321016597-ogrn-1021300659841-6906d9ac9b9b226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРУШ""",ООО ПАРУШ,1328003710,"430904, Мордовия респ., г. Саранск, рабочий пос. Ялга, ул. Пионерская, д. 12", 54.118279, 45.117669,33.12,Ремонт машин и оборудования,https://spark-interfax.ru/mordoviya-respublika-saransk/ooo-parush-inn-1328003710-ogrn-1111328000629-8a601da193b54f1187c0f5fa633d4a5f
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРБИТА СТРОЙПРОЕКТ""",ООО ОРБИТА СТРОЙПРОЕКТ,1328010033,"430904, Мордовия респ., г. Саранск, рабочий пос. Ялга, ул. Пионерская, д. 12", 54.118279, 45.117669,25.11,"Производство строительных металлических конструкций, изделий и их частей",https://spark-interfax.ru/mordoviya-respublika-saransk/ooo-orbita-stroiproekt-inn-1328010033-ogrn-1141328001814-28e4b1b8bfdc45b585d11a6468c8e866
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АС ЛИДЕР-ПРОФМОНТАЖ""",ООО АС ЛИДЕР-ПРОФМОНТАЖ,1327011002,"430005, Мордовия респ., г. Саранск, ул. Советская, д. 105 ""А"" ПКГО ""БОТЕВГРАД"" блок А", 54.181982, 45.168480,43.2,"Производство электромонтажных, санитарно-технических и прочих строительно-монтажных работ",https://spark-interfax.ru/mordoviya-respublika-saransk/ooo-as-lider-profmontazh-inn-1327011002-ogrn-1101327001302-5d0c2e45d96745aca4bad98113ec3bfe
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САТЕЛЛИТ""",ООО САТЕЛЛИТ,1307000250,"431370, Мордовия респ., Ельниковский район, с. Ельники, пл. 1 Мая, д. 2", 54.620832, 43.867099,47.11,"Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах",https://spark-interfax.ru/mordoviya-respublika-elnikovski-raion/ooo-satellit-inn-1307000250-ogrn-1061314009030-735ffbfa594d44719fdbc101e8de8d74
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХЛЕБОЗАВОД""",ООО ХЛЕБОЗАВОД,1307077774,"431370, Мордовия Респ, м.р-н Ельниковский, с.п. Ельниковское, с Ельники, ул Толстого, д. 4", 54.625758, 43.874476,10.71,"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения",https://spark-interfax.ru/mordoviya-respublika-elnikovski-raion/ooo-khlebozavod-inn-1307077774-ogrn-1041308003043-c903b9d56ebf4f1abd9a1214eeda4869
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕСОПРОИЗВОДСТВЕННАЯ БАЗА""",ООО ЛЕСОПРОИЗВОДСТВЕННАЯ БАЗА,1300001582,"431658, Мордовия Респ, м.р-н Ичалковский, с.п. Рождественно-Баевское, с Рождествено, ул Победы, д. 12", 54.682263, 45.285889,16.10,Распиловка и строгание древесины,https://spark-interfax.ru/mordoviya-respublika-ichalkovski-raion/ooo-lesoproizvodstvennaya-baza-inn-1300001582-ogrn-1221300003000-e6b88794d46c2735e053259aa8c0e7f2
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ СНАБЖЕНЧЕСКИЙ СБЫТОВОЙ ПЕРЕРАБАТЫВАЮЩИЙ ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""ГРАД-АТЕРЬ""",СССППК ГРАД-АТЕРЬ,1221300002330,"431050, Мордовия Респ, м.р-н Атюрьевский, с.п. Атюрьевское, с Атюрьево, ул Московская, д. 49", 54.309941, 43.323747,10.12,Производство и консервирование мяса птицы,https://spark-interfax.ru/mordoviya-respublika-atyurevski-raion/koop-grad-ater-inn-1300000910-ogrn-1221300002330-e2ded158850068d5e053259aa8c0cecf
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""НУР""",СПК НУР,1316198285,"431613, Мордовия респ., Ромодановский район, с. Алтары, ул. Октябрьская, д. 40", 54.374683, 45.341881,01.41,"Разведение молочного крупного рогатого скота, производство сырого молока",https://spark-interfax.ru/mordoviya-respublika-romodanovski-raion/koop-nur-inn-1316198285-ogrn-1101310000142-617889a8489a7e1ce0531b9aa8c027ab
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЛИНА""",ООО ГАЛИНА,1304070499,"431730, Мордовия респ., Большеберезниковский район, с. Судосево, ул. Советская, д. 1А", 54.154184, 45.816928,47.11,"Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах",https://spark-interfax.ru/mordoviya-respublika-bolshebereznikovski-raion/ooo-galina-inn-1304070499-ogrn-1061322024136-449b2268396a41e9a39f96c9fd309f67
