Название,Название Кратко,ИНН,адрес,lat,lon,Код оквэд,Основной вид деятельности,Ссылка
"ТОВАРИЩЕСТВО НА ВЕРЕ ""ПОДЛИПАЕВ, ГЕРАСИМОВ И КОМПАНИЯ""","ТНВ ПОДЛИПАЕВ, ГЕРАСИМОВ И КОМПАНИЯ",3603004547,"396772, Воронежская обл., Богучарский район, с. Монастырщина, ул. Первомайская, д. 36 А", 49.817299, 40.900318,01.11.1,Выращивание зерновых культур,https://spark-interfax.ru/voronezhskaya-oblast-bogucharski-raion/tv-podlipaev-gerasimov-i-kompaniya-inn-3603004547-ogrn-1023601078082-058d646de12d4b789bc8a073a5bbe8f7
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЯБА""",ООО РЯБА,3663052979,"396830, Воронежская обл., Хохольский район, с. Хохол, ул. Верхняя Слобода, д. 4", 51.555128, 38.740711,01.47,Разведение сельскохозяйственной птицы,https://spark-interfax.ru/voronezhskaya-oblast-khokholski-raion/ooo-ryaba-inn-3663052979-ogrn-1053600107197-cba8e7968b0549f0b4f6b157b8546041
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦХОЗ ""ВИШНЕВСКИЙ""",ООО СПЕЦХОЗ ВИШНЕВСКИЙ,3607004160,"396111, Воронежская обл., Верхнехавский район, пос. Вишневка, ул. Ленина, д. 16А", 51.847369, 39.849479,01.46,Разведение свиней,https://spark-interfax.ru/voronezhskaya-oblast-verkhnekhavski-raion/ooo-vishnevski-inn-3607004160-ogrn-1023600932904-78b8d73d54454123b99f3f510b912bdc
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА""",ООО АЛЬФА,3607004700,"396116, Воронежская обл., Верхнехавский район, пос. Вишневка, ул. Ленина, д. 16 А", 51.847369, 39.849479,01.46,Разведение свиней,https://spark-interfax.ru/voronezhskaya-oblast-verkhnekhavski-raion/ooo-alfa-inn-3607004700-ogrn-1063616009490-82bdb06191dc447895f1162a9504b646
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКОЕ ПОЛЕ""",ООО РУССКОЕ ПОЛЕ,3605008508,"397500, Воронежская обл., Бутурлиновский район, г. Бутурлиновка, ул. Красная, д. 48", 50.827643, 40.564681,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/voronezhskaya-oblast-buturlinovski-raion/ooo-russkoe-pole-inn-3605008508-ogrn-1173668032647-c970e81774954bca80e3c7f237b1e758
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ БОБРОВСКАЯ КОМПАНИЯ ""ТРАНС-ПЕРЕВОЗЧИК""",ООО БК ТРАНС-ПЕРЕВОЗЧИК,3602010474,"397704, Воронежская обл., Бобровский район, г. Бобров, ул. Им.Калинина, д. 268 офис 4", 51.091332, 40.021723,49.4,Деятельность автомобильного грузового транспорта и услуги по перевозкам,https://spark-interfax.ru/voronezhskaya-oblast-bobrovski-raion/ooo-trans-perevozchik-inn-3602010474-ogrn-1153668034893-eba81caa76d24a9eaa33d8dd9ae55b96
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРОЖАНСКИЕ ОВОЩИ""",ООО ГОРОЖАНСКИЕ ОВОЩИ,3666273260,"396032, Воронежская обл, м.р-н Рамонский, с.п. Горожанское, с Горожанка, ул Центральная, д. 1А", 51.998664, 39.120372,01.13,"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",https://spark-interfax.ru/voronezhskaya-oblast-ramonski-raion/ooo-gorozhanskie-ovoshchi-inn-3666273260-ogrn-1243600020806-29d414107c620dbde063269aa8c06252
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОВОЩ-ПРОД-ХОЛДИНГ""",ООО ОВОЩ-ПРОД-ХОЛДИНГ,3607006136,"396110, Воронежская обл., Верхнехавский район, с. Верхняя Хава, ул. Буденного, д. 19 офис 1", 51.842030, 39.943151,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/voronezhskaya-oblast-verkhnekhavski-raion/ooo-ovoshch-prod-kholding-inn-3607006136-ogrn-1083668012614-a8bdd8402ab043dd9d377ad5450f551a
"НЕКОММЕРЧЕСКОЕ ПАРТНЕРСТВО ПРЕДПРИНИМАТЕЛЕЙ МАЛОГО И СРЕДНЕГО БИЗНЕСА ""БИЗНЕС - РАЗВИТИЕ""",НПП БИЗНЕС - РАЗВИТИЕ,1063600018305,"397702, Воронежская обл., Бобровский район, г. Бобров, ул. Оборонительная, д. 13", 51.100088, 40.033240,69,Деятельность в области права и бухгалтерского учета,https://spark-interfax.ru/voronezhskaya-oblast-bobrovski-raion/np-biznes-razvitie-inn-3602009126-ogrn-1063600018305-6906d94c494c226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКСПЕРТ-УНИВЕРСАЛ""",ООО ЭКСПЕРТ-УНИВЕРСАЛ,3602009479,"397900, Воронежская обл., г. Лиски, ул. Трудовые Резервы, д. 95 к. А", 50.992309, 39.476903,68.31.5,Предоставление посреднических услуг при оценке недвижимого имущества за вознаграждение или на договорной основе,https://spark-interfax.ru/voronezhskaya-oblast-liskinski-raion/ooo-ekspert-universal-inn-3602009479-ogrn-1083652000497-61788954ab6e7e1ce0531b9aa8c027ab
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ЛЕСНОЙ ГЕНЕТИКИ, СЕЛЕКЦИИ И БИОТЕХНОЛОГИИ""",ФГБУ ВНИИЛГИСБИОТЕХ,3666187950,"394087, Воронежская обл., г. Воронеж, ул. Ломоносова, д. 105", 51.725315, 39.200994,72.19,Научные исследования и разработки в области естественных и технических наук прочие,https://spark-interfax.ru/voronezhskaya-oblast-voronezh/fgbu-vniilgisbiotekh-inn-3666187950-ogrn-1133668046786-6906d94be1bf226ae0531b9aa8c04bb6
"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГРОФИРМА ""РОДИНА""",ОАО АГРОФИРМА РОДИНА,3615005182,"396870, Воронежская обл., с. Нижнедевицк, ул. Советская, д. 35", 51.533904, 38.360521,01.4,Животноводство,https://spark-interfax.ru/voronezhskaya-oblast-nizhnedevitski-raion/pao-agrofirma-rodina-inn-3615005182-ogrn-1083668020700-61788954ae5c7e1ce0531b9aa8c027ab
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНГУК""",ООО ИНГУК,3605001380,"397500, Воронежская обл., Бутурлиновский район, г. Бутурлиновка, ул. Октябрьская, д. 35", 50.832159, 40.582289,01.47,Разведение сельскохозяйственной птицы,https://spark-interfax.ru/voronezhskaya-oblast-buturlinovski-raion/ooo-inguk-inn-3605001380-ogrn-1023600646189-c8e35b27f85f4e76a4d465edb99b4396
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕВИЦКИЙ КОЛОС""",ООО ДЕВИЦКИЙ КОЛОС,3628008286,"396942, Воронежская обл., Семилукский район, с. Девица, ул. Гагарина, зд. 16", 51.636445, 38.953855,01.11.1,Выращивание зерновых культур,https://spark-interfax.ru/voronezhskaya-oblast-semilukski-raion/ooo-devitski-kolos-inn-3628008286-ogrn-1023601316530-83f18f59ea554690bd28391da2dc58fb
