Название,Название Кратко,ИНН,адрес,lat,lon,Код оквэд,Основной вид деятельности,Ссылка
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПОТРЕБИТЕЛЬСКИЙ ПЕРЕРАБАТЫВАЮЩИЙ КООПЕРАТИВ ""КРУПЯНОЙ ДВОР""",СППК КРУПЯНОЙ ДВОР,1195835018004,"442561, Пензенская обл., Лопатинский район, с. Старый Карлыган, ул. Зеленая, д. 2", 52.470044, 45.813684,10.61,Производство продуктов мукомольной и крупяной промышленности,https://spark-interfax.ru/penzenskaya-oblast-lopatinski-raion/koop-krupyanoi-dvor-inn-5803030280-ogrn-1195835018004-99297a2444de18bde053179aa8c0afda
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕЛЕРАДИОКОМПАНИЯ ""НАШ ДОМ""",АО ТРК НАШ ДОМ,5837009833,"440035, Пензенская обл., г. Пенза, ул. Мира, д. 1А", 53.189658, 44.977219,68.20,Аренда и управление собственным или арендованным недвижимым имуществом,https://spark-interfax.ru/penzenskaya-oblast-penza/ao-trk-nash-dom-inn-5837009833-ogrn-1025801436583-ef0eb5a1abfd4d3abb9f3195d20a4387
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМБИНАТ ДЕТСКОГО ПИТАНИЯ"" ГОРОДА ЗАРЕЧНОГО ПЕНЗЕНСКОЙ ОБЛАСТИ",АО КОМБИНАТ ДЕТСКОГО ПИТАНИЯ,5838012846,"442960, Пензенская обл., г. Заречный, ул. Заречная, д. 38", 53.191299, 45.158557,10.51,Производство молока (кроме сырого) и молочной продукции,https://spark-interfax.ru/penzenskaya-oblast-zarechny/ao-kombinat-detskogo-pitaniya-inn-5838012846-ogrn-1175835009525-6c1e078ba1144219b703f333ec362d0f
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕЧТА""",ООО МЕЧТА,5805010875,"442893, Пензенская обл., Сердобский район, г. Сердобск, ул. Лесная, д. ЗД 39", 52.465198, 44.222083,10.51,Производство молока (кроме сырого) и молочной продукции,https://spark-interfax.ru/penzenskaya-oblast-serdobski-raion/ooo-mechta-inn-5805010875-ogrn-1105805000652-eab76dd5077e4cd8a5a802fe244276aa
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХОХЛАНД РУССЛАНД""",ООО ХОХЛАНД РУССЛАНД,5040048921,"140126, Московская обл, м.о. Раменский, п Раменской агрохимстанции (РАОС), д. 16", 55.525954, 38.105379,10.51.3,Производство сыра и сырных продуктов,https://spark-interfax.ru/moskovskaya-oblast-ramenskoe/ooo-khokhland-russland-inn-5040048921-ogrn-1025005117631-b87168f3dfe14e5dadd8cc78edf05093
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОЛОЧНЫЙ КОМБИНАТ ""ПЕНЗЕНСКИЙ""",АО МОЛКОМ,5837006078,"440031, Пензенская обл., г. Пенза, ул. Курская, стр. 70", 53.169432, 44.965097,10.51,Производство молока (кроме сырого) и молочной продукции,https://spark-interfax.ru/penzenskaya-oblast-penza/ao-molkom-inn-5837006078-ogrn-1025801441709-ba74f5673a7d43d39cc2f4ad83e3224e
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ДАРЬЯ""",БФДАРЬЯ,1175800000188,"442963, Пензенская обл, г.о. ЗАТО город Заречный, г Заречный, ул Зеленая, д. 29Б, кв. 23", 53.188634, 45.168341,64.99,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки",https://spark-interfax.ru/penzenskaya-oblast-zarechny/bf-darya-inn-5838012187-ogrn-1175800000188-6906d991db5b226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФЕРМЕР""",ООО ФЕРМЕР,5826007104,"442680, Пензенская обл, м.р-н Никольский, г.п. город Никольск, г Никольск, ул Центральная, д. 4", 53.714621, 46.087779,01.13.31,Выращивание картофеля,https://spark-interfax.ru/penzenskaya-oblast-nikolski-raion/ooo-fermer-inn-5826007104-ogrn-1185835006796-6b81fe590a2b3f3ae0531b9aa8c070a5
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НИКОЛЬСКОЕ ПАССАЖИРСКОЕ АВТОТРАНСПОРТНОЕ ПРЕДПРИЯТИЕ""",ООО НИКОЛЬСКОЕ ПАТП,5826007023,"442680, Пензенская обл., Никольский район, г. Никольск, ул. Белинского, д. 29", 53.708282, 46.074439,49.39.11,Регулярные перевозки пассажиров автобусами в междугородном сообщении,https://spark-interfax.ru/penzenskaya-oblast-nikolski-raion/ooo-nikolskoe-patp-inn-5826007023-ogrn-1175835014860-20fe71c6b17d45b895230dfa108ba6dd
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМС""",ООО АМС,5834114678,"440015, Пензенская обл, г.о. город Пенза, г Пенза, ул Северная, стр. 9А, офис 12", 53.221175, 45.016800,24.42,Производство алюминия,https://spark-interfax.ru/penzenskaya-oblast-penza/ooo-ams-inn-5834114678-ogrn-1165835056474-88c2359b9eca4b849f776e52792b0291
"КРЕСТЬЯНСКОЕ (ФЕРМЕРСКОЕ) ХОЗЯЙСТВО ""НАСЛЕДНИК""",КРЕСТЬЯНСКОЕ (ФЕРМЕРСКОЕ) ХОЗЯЙСТВО НАСЛЕДНИК,1025800509570,"442233, Пензенская обл., Каменский район, с. Казанская Арчада", 53.011132, 44.236190,01.11.1,Выращивание зерновых культур,https://spark-interfax.ru/penzenskaya-oblast-kamenski-raion/kfkh-naslednik-inn-5815001132-ogrn-1025800509570-6906d9916920226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОВОЛЖСКИЕ СЕМЕНА""",ООО ПОВОЛЖСКИЕ СЕМЕНА,5814901148,"442712, Пензенская обл., Иссинский район, пос. Центральная Усадьба Свх Уваровский, ул. Садовая, д. 36", 53.768105, 44.741104,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/penzenskaya-oblast-issinski-raion/ooo-povolzhskie-semena-inn-5814901148-ogrn-1135809000854-6178899241787e1ce0531b9aa8c027ab
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРОЖАЙ-2016""",ООО УРОЖАЙ-2016,5817007108,"440039, Пензенская обл, г.о. город Пенза, г Пенза, ул Ленина, д. 3, ком. 114", 53.216136, 45.005467,46.21,"Торговля оптовая зерном, необработанным табаком, семенами и кормами для сельскохозяйственных животных",https://spark-interfax.ru/penzenskaya-oblast-penza/ooo-urozhai-inn-5817007108-ogrn-1165835069047-60cfdc1d472e44d6a62dc3248067f630
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ОВОЩЕВОДЧЕСКИЙ ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""НАРАТ+""",СОПК НАРАТ+,5820004065,"442561, Пензенская обл., Лопатинский район, с. Старый Карлыган, ул. Центральная, д. 2", 52.469411, 45.822102,01.13.3,Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,https://spark-interfax.ru/penzenskaya-oblast-lopatinski-raion/koop-narat-inn-5820004065-ogrn-1105803001699-6906d9915903226ae0531b9aa8c04bb6
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ЖИВОТНОВОДЧЕСКИЙ ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""ДИАНА""",СЖПК ДИАНА,5820004308,"442561, Пензенская обл., Лопатинский район, д. Берлик, ул. Садовая, д. 46 кв. 1", 52.469806, 45.712088,01.41,"Разведение молочного крупного рогатого скота, производство сырого молока",https://spark-interfax.ru/penzenskaya-oblast-lopatinski-raion/koop-diana-inn-5820004308-ogrn-1105803002755-6906d991b194226ae0531b9aa8c04bb6
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ СНАБЖЕНЧЕСКО-СБЫТОВОЙ ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""КЛЕН""",СССПК КЛЕН,5820003946,"442561, Пензенская обл., Лопатинский район, с. Старый Карлыган, ул. Центральная, д. 31", 52.469411, 45.822102,01.50,Смешанное сельское хозяйство,https://spark-interfax.ru/penzenskaya-oblast-lopatinski-raion/koop-klen-inn-5820003946-ogrn-1105803000490-6906d991a955226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОСА 58""",ООО ОСА 58,5803029158,"442430, Пензенская обл., Шемышейский район, рабочий пос. Шемышейка, ул. Ленина, владение 32 офис 9", 52.890867, 45.401939,01.13,"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",https://spark-interfax.ru/penzenskaya-oblast-shemysheiski-raion/ooo-osa-inn-5803029158-ogrn-1185835007027-6c0ed41c3eec6b55e0531b9aa8c068bd
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОФЕССИОНАЛЬНАЯ ПСИХОЛОГИЧЕСКАЯ ПОМОЩЬ""",ООО ПРОФЕССИОНАЛЬНАЯ ПСИХОЛОГИЧЕСКАЯ ПОМОЩЬ,5834128046,"440014, Пензенская обл, г.о. город Пенза, г Пенза, ул Кордон Студеный, д. 41, кв. 9", 53.159645, 45.134979,86.90.5,Деятельность в области психического здоровья,https://spark-interfax.ru/penzenskaya-oblast-penza/ooo-professionalnaya-psikhologicheskaya-pomoshch-inn-5834128046-ogrn-1215800010117-d25e5694bafd3536e053219aa8c05e1a
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛАНА""",ООО АЛАНА,5811901358,"442170, Пензенская обл., Вадинский район, с. Вадинск, ул. Пугачевская, д. 16", 53.700258, 43.053126,55.1,Деятельность гостиниц и прочих мест для временного проживания,https://spark-interfax.ru/penzenskaya-oblast-vadinski-raion/ooo-alana-inn-5811901358-ogrn-1125827000529-4cb73273101f4f879b5e8379da5dfcc2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИЗДАТЕЛЬСТВО ""НАШ ДОМ""",ООО ИЗДАТЕЛЬСТВО НАШ ДОМ,5836615447,"440026, Пензенская обл, г.о. город Пенза, г Пенза, ул Московская, стр. 5А", 53.186292, 45.015275,58.13,Издание газет,https://spark-interfax.ru/penzenskaya-oblast-penza/ooo-izdatelstvo-nash-dom-inn-5836615447-ogrn-1025801356900-c093c096202544e9ba7d78d81044b53a
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗДРАВНИЦА""",ООО ЗДРАВНИЦА,5836621320,"440600, Пензенская обл., г. Пенза, ул. Славы, д. 2 к. А", 53.193999, 45.020959,85.41.91,Деятельность по организации отдыха детей и их оздоровления,https://spark-interfax.ru/penzenskaya-oblast-penza/ooo-zdravnitsa-inn-5836621320-ogrn-1045803014729-60e4c416d2a34d489c167f9274b9d782
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРИУМФ""",ООО ТРИУМФ,5836649510,"440008, Пензенская обл., г. Пенза, ул. Горная, д. 3А", 53.193971, 44.988304,46.4,Торговля оптовая непродовольственными потребительскими товарами,https://spark-interfax.ru/penzenskaya-oblast-penza/ooo-triumf-inn-5836649510-ogrn-1125836000223-dc12e5f5fbd94cef908f840133215799
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕТСКИЙ ОЗДОРОВИТЕЛЬНЫЙ ЦЕНТР ""БЕЛКА""",ООО ДОЦ БЕЛКА,5836611876,"440600, Пензенская обл., г. Пенза, ул. Славы, д. 2 к. А", 53.193999, 45.020959,85.41.91,Деятельность по организации отдыха детей и их оздоровления,https://spark-interfax.ru/penzenskaya-oblast-penza/ooo-belka-inn-5836611876-ogrn-1025801359825-95331759e53f48428d16156fd7dfc2e8
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВАЛЕНСИЯ""",ООО ВАЛЕНСИЯ,5836691800,"356126, Ставропольский край, м.о. Изобильненский, п Солнечнодольск, ул Набережная, зд. 15Б", 45.296678, 41.509443,86.90.4,Деятельность санаторно-курортных организаций,https://spark-interfax.ru/stavropolski-krai-izobilnenski-raion/ooo-valensiya-inn-5836691800-ogrn-1195835015848-94c2f30b204f5877e0531b9aa8c08823
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕГИОН-ПРОДУКТ""",АО РЕГИОН-ПРОДУКТ,5829060635,"440528, Пензенская обл., Пензенский район, с. Богословка, ул. Автомобилистов, д. 29", 53.215961, 44.811329,10.72,"Производство сухарей, печенья и прочих сухарных хлебобулочных изделий, производство мучных кондитерских изделий, тортов, пирожных, пирогов и бисквитов, предназначенных для длительного хранения",https://spark-interfax.ru/penzenskaya-oblast-penzenski-raion/ao-region-produkt-inn-5829060635-ogrn-1055801700239-358a6589583146e58ce42c71e728bae2
"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""ЭДЕЛЬВЕЙС""",ТСЖ ЭДЕЛЬВЕЙС,1095835002471,"440066, Пензенская обл., г. Пенза, проспект Строителей, д. 156А", 53.221260, 44.885500,68.32.1,Управление эксплуатацией жилого фонда за вознаграждение или на договорной основе,https://spark-interfax.ru/penzenskaya-oblast-penza/tszh-edelveis-inn-5835082404-ogrn-1095835002471-6906d991a3ee226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БРИТАНИЯ""",ООО БРИТАНИЯ,5835113250,"440066, Пензенская обл., г. Пенза, проспект Строителей, д. 48", 53.221908, 44.923427,85.41.9,"Образование дополнительное детей и взрослых, не включенное в другие группировки",https://spark-interfax.ru/penzenskaya-oblast-penza/ooo-britaniya-inn-5835113250-ogrn-1155835003059-efb77abca79b47768d19922f5e021e41
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРХОНТ""",ООО АРХОНТ,5837051578,"440034, Пензенская обл., г. Пенза, ул. Краснова, д. 40", 53.168046, 45.004828,96.04,Деятельность физкультурно-оздоровительная,https://spark-interfax.ru/penzenskaya-oblast-penza/ooo-arkhont-inn-5837051578-ogrn-1125837002433-617889923c0b7e1ce0531b9aa8c027ab
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ПЕРСОНАЛЬНЫХ РЕШЕНИЙ И ЗАБОТЫ""",ООО ЦЕНТР ПРИЗ,5836645089,"440047, Пензенская обл, г.о. город Пенза, г Пенза, пр-кт Победы, д. 87", 53.228894, 44.940145,46.46.2,"Торговля оптовая изделиями, применяемыми в медицинских целях",https://spark-interfax.ru/penzenskaya-oblast-penza/ooo-tsentr-priz-inn-5836645089-ogrn-1115836000796-8ea2818a9d7d4e05a48bf7e14b86a90d
