Название,Название Кратко,ИНН,адрес,lat,lon,Код оквэд,Основной вид деятельности,Ссылка
"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 98 ""ЁЛОЧКА"" ОБЩЕРАЗВИВАЮЩЕГО ВИДА С ПРИОРИТЕТНЫМ ОСУЩЕСТВЛЕНИЕМ ДЕЯТЕЛЬНОСТИ ПО ПОЗНАВАТЕЛЬНО-РЕЧЕВОМУ РАЗВИТИЮ ДЕТЕЙ"" ГОРОДА ЧЕБОКСАРЫ ЧУВАШСКОЙ РЕСПУБЛИКИ",МБДОУ ДЕТСКИЙ САД № 98 Г. ЧЕБОКСАРЫ,1022101276812,"428005, Чувашская Республика - Чувашия, г. Чебоксары, ул. Грасиса, д. 2А", 56.124588, 47.201419,85.11,Образование дошкольное,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/mbu-detski-sad-n-g-cheboksary-inn-2129033905-ogrn-1022101276812-6906d9b1c2de226ae0531b9aa8c04bb6
"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 49 С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ОТДЕЛЬНЫХ ПРЕДМЕТОВ ИМЕНИ П.П.ХУЗАНГАЯ"" ГОРОДА ЧЕБОКСАРЫ ЧУВАШСКОЙ РЕСПУБЛИКИ",МБОУ СОШ № 49 Г.ЧЕБОКСАРЫ,1022101139521,"428027, Чувашская Республика - Чувашия, г. Чебоксары, ул. Хузангая, д. 23", 56.092929, 47.277604,85.14,Образование среднее общее,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/mbu-sosh-n-g-cheboksary-inn-2128019457-ogrn-1022101139521-6906d9b1c010226ae0531b9aa8c04bb6
"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 80"" ГОРОДА ЧЕБОКСАРЫ ЧУВАШСКОЙ РЕСПУБЛИКИ",МБДОУ ДЕТСКИЙ САД № 80 Г. ЧЕБОКСАРЫ,1022101279573,"428023, Чувашская Республика - Чувашия, г. Чебоксары, ул. Яноушека, д. 3 к. А", 56.122202, 47.196871,85.11,Образование дошкольное,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/mbu-detski-sad-n-g-cheboksary-inn-2129034088-ogrn-1022101279573-6906d9b1c461226ae0531b9aa8c04bb6
"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АЛИКОВСКИЙ ИНФОРМАЦИОННО-КОНСУЛЬТАЦИОННЫЙ ЦЕНТР""",МБУ АЛИКОВСКИЙ ИКЦ,1072133000466,"429250, Чувашская Республика - Чувашия, Аликовский район, с. Аликово, ул. Октябрьская, д. 21", 55.735298, 46.750530,84.11.3,Деятельность органов местного самоуправления по управлению вопросами общего характера,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-alikovski-raion/mbu-alikovski-ikts-inn-2102421347-ogrn-1072133000466-6906d9b1d769226ae0531b9aa8c04bb6
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""ПАТМАН""",СПК ПАТМАН,1022102030983,"429706, Чувашская Республика - Чувашия, Ибресинский район, д. Новые Высли, ул. Ленина, д. 23А", 55.283774, 47.312853,01.4,Животноводство,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-ibresinski-raion/koop-patman-inn-2105001774-ogrn-1022102030983-fccb19ea5f5641d4b6cf371cf4e71fb9
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""ХАСТАР""",СХПК ХАСТАР,1022101833247,"429362, Чувашская Республика - Чувашия, Батыревский район, с. Тарханы, ул. Кокеля, д. 23", 55.007881, 47.335831,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-batyrevski-raion/koop-khastar-inn-2103004836-ogrn-1022101833247-cc468aee573d4cef9a3e23ee03cd7906
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЮРБЕЕВО""",ООО СЮРБЕЕВО,2108006347,"429144, Чувашская Республика - Чувашия, Комсомольский район, д. Альбусь-Сюрбеево, ул. Центральная, д. 1", 55.187628, 47.497834,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-komsomolski-raion/ooo-syurbeevo-inn-2108006347-ogrn-1052132003131-6020ac55b4cb444485a14ca7847fd24e
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЛГА АЙС""",АО ВОЛГА АЙС,2127010300,"428024, Чувашская Республика - Чувашия, г. Чебоксары, проспект Мира, д. 3", 56.116306, 47.276103,10.52,Производство мороженого,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ao-volga-ais-inn-2127010300-ogrn-1022100967085-a351e0a82479489cb24a902d5ce9ea25
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧЕБОКСАРСКАЯ МАКАРОННО-КОНДИТЕРСКАЯ ФАБРИКА ""ВАВИЛОН""",ООО ЧМКФ ВАВИЛОН,2129030703,"428015, Чувашская Республика - Чувашия, г. Чебоксары, ул. Урукова, д. 17", 56.140247, 47.208051,10.73.1,Производство макаронных изделий,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ooo-chmkf-vavilon-inn-2129030703-ogrn-1022101271720-818d37357cb147b5a6d1ed35744fd2d5
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПОТРЕБИТЕЛЬСКИЙ СНАБЖЕНЧЕСКО-СБЫТОВОЙ КООПЕРАТИВ ""ДЕРЕВЕНСКИЙ ДВОРИК""",СПССК ДЕРЕВЕНСКИЙ ДВОРИК,2105004648,"429506, Чувашская Республика - Чувашия, Чебоксарский район, д. Пикшик, ул. Луговая, д. 58", 56.011801, 47.208459,10.51,Производство молока (кроме сырого) и молочной продукции,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksarski-raion/koop-derevenski-dvorik-inn-2105004648-ogrn-1072133000048-6906d9b1d49b226ae0531b9aa8c04bb6
