Название,Название Кратко,ИНН,адрес,lat,lon,Код оквэд,Основной вид деятельности,Ссылка
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САН АГРО""",ООО САН АГРО,3662161573,"394036, Воронежская обл., г. Воронеж, ул. Карла Маркса, д. 72А офис 205", 51.666289, 39.204213,46.21,"Торговля оптовая зерном, необработанным табаком, семенами и кормами для сельскохозяйственных животных",https://spark-interfax.ru/voronezhskaya-oblast-voronezh/ooo-san-agro-inn-3662161573-ogrn-1113668003613-4b89698372d941d3bb019f1892fb6919
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНЦЕРН ""СОЗВЕЗДИЕ""",АО КОНЦЕРН СОЗВЕЗДИЕ,3666127502,"394018, Воронежская обл., г. Воронеж, ул. Плехановская, д. 14", 51.663610, 39.198347,72.19,Научные исследования и разработки в области естественных и технических наук прочие,https://spark-interfax.ru/voronezhskaya-oblast-voronezh/ao-kontsern-sozvezdie-inn-3666127502-ogrn-1053600445337-3beae045ac634ed082efc62078a26cc6
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОДУЛЬ-ВОРОНЕЖ""",АО МОДУЛЬ-В,3662173875,"394033, Воронежская обл., г. Воронеж, проспект Ленинский, д. 119А литера 2А-3 пом. 14", 51.673840, 39.253036,26.20,Производство компьютеров и периферийного оборудования,https://spark-interfax.ru/voronezhskaya-oblast-voronezh/ao-modul-v-inn-3662173875-ogrn-1123668010575-ebdb24b448dd4b1aae55a1558ebd13f9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВ СИСТЕМЫ""",ООО КВ СИСТЕМЫ,3662196840,"394026, Воронежская обл., г. Воронеж, ул. Дружинников, д. 5Б офис 2", 51.684703, 39.174406,27.12,Производство электрической распределительной и регулирующей аппаратуры,https://spark-interfax.ru/voronezhskaya-oblast-voronezh/ooo-kv-sistemy-inn-3662196840-ogrn-1133668054662-06b6750318fa4aeab598250cee65f66d
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БОРИСОГЛЕБСКОЕ МАШИНОСТРОЕНИЕ""",ООО БОРМАШ,3604011804,"397340, Воронежская обл., Поворинский район, с. Пески, ул. Пролетарская, д. 59", 51.250470, 42.472045,28.25,Производство промышленного холодильного и вентиляционного оборудования,https://spark-interfax.ru/voronezhskaya-oblast-povorinski-raion/ooo-bormash-inn-3604011804-ogrn-1023600612804-e5c7af7fdc2b471787793df419693163
ВОРОНЕЖСКИЙ ИНСТИТУТ ВЫСОКИХ ТЕХНОЛОГИЙ - АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ,ВИВТ - АНОО ВО,1033600006439,"394043, Воронежская обл., г. Воронеж, ул. Ленина, д. 73А", 51.684201, 39.217491,85.22,Образование высшее,https://spark-interfax.ru/voronezhskaya-oblast-voronezh/ano-vivt-anoo-inn-3662006761-ogrn-1033600006439-6906d94b978e226ae0531b9aa8c04bb6
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПОТРЕБИТЕЛЬСКИЙ СБЫТОВОЙ КООПЕРАТИВ ""ПАНИНСКИЕ САДЫ""",СПСК ПАНИНСКИЕ САДЫ,1243600002634,"396180, Воронежская обл, м.р-н Панинский, с.п. Красненское, п Первомайский, ул Центральная, д. 2, кв. 1", 51.720512, 40.147915,46.31,Торговля оптовая фруктами и овощами,https://spark-interfax.ru/voronezhskaya-oblast-paninski-raion/koop-paninskie-sady-inn-3604084552-ogrn-1243600002634-122cdbb5d11f4ed8e063259aa8c05b89
"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВОРОНЕЖСКОЙ ОБЛАСТИ ""ВОРОНЕЖСКИЙ ТЕХНИКУМ ПИЩЕВОЙ И ПЕРЕРАБАТЫВАЮЩЕЙ ПРОМЫШЛЕННОСТИ""",ГБПОУ ВО ВТППП,1153668048027,"394005, Воронежская обл., г. Воронеж, проспект Московский, д. 129", 51.727751, 39.177381,85.21,Образование профессиональное среднее,https://spark-interfax.ru/voronezhskaya-oblast-voronezh/gbu-vtppp-inn-3662214232-ogrn-1153668048027-6906d94cba71226ae0531b9aa8c04bb6
"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВОРОНЕЖСКОЙ ОБЛАСТИ ""ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ ПРОМЫШЛЕННО-ГУМАНИТАРНЫЙ КОЛЛЕДЖ ИМЕНИ ВАСИЛИЯ МИХАЙЛОВИЧА ПЕСКОВА""",ГБПОУ ВО ВГПГК ИМЕНИ В.М.ПЕСКОВА,1033600041254,"394036, Воронежская обл., г. Воронеж, проспект Революции, д. 20", 51.673094, 39.209616,85.21,Образование профессиональное среднее,https://spark-interfax.ru/voronezhskaya-oblast-voronezh/gbu-vgpgk-imeni-v-m-peskova-inn-3666028526-ogrn-1033600041254-6906d94c07e0226ae0531b9aa8c04bb6
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ""","ФГБОУ ВО ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ, ФГБОУ ВО ВГПУ, ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ, ВГПУ",1033600041683,"394043, Воронежская обл., г. Воронеж, ул. Ленина, д. 86", 51.686593, 39.216350,85.22,Образование высшее,https://spark-interfax.ru/voronezhskaya-oblast-voronezh/fgbu-voronezhski-gosudarstvenny-pedagogicheski-universitet-fgbou-vo-vgpu-voronezhski-gosudarstvenny-pedagogicheski-universitet-vgpu-i-6906d94bfb05226ae0531b9aa8c04bb6
"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВОРОНЕЖСКОЙ ОБЛАСТИ ""ЛИСКИНСКИЙ ПРОМЫШЛЕННО-ТРАНСПОРТНЫЙ ТЕХНИКУМ ИМЕНИ А.К. ЛЫСЕНКО""",ГБПОУ ВО ЛПТТ ИМЕНИ А.К. ЛЫСЕНКО,1023601513980,"397900, Воронежская обл., Лискинский район, г. Лиски, ул. Лысенко, д. 1", 50.991026, 39.502681,85.21,Образование профессиональное среднее,https://spark-interfax.ru/voronezhskaya-oblast-liskinski-raion/gbu-lptt-imeni-a-k-lysenko-inn-3652001595-ogrn-1023601513980-6906d94c07da226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦИАЛИЗИРОВАННОЕ ХОЗЯЙСТВО МОСКОВСКОЕ""",ООО СПЕЦИАЛИЗИРОВАННОЕ ХОЗЯЙСТВО МОСКОВСКОЕ,3602008789,"397713, Воронежская обл, м.р-н Бобровский, с.п. Семёно-Александровское, с Семёно-Александровка, тер. ООО СХ Московское, зд. 1, офис 1", 51.037136, 40.217468,01.46,Разведение свиней,https://spark-interfax.ru/voronezhskaya-oblast-bobrovski-raion/ooo-spetsializirovannoe-khozyaistvo-moskovskoe-inn-3602008789-ogrn-1063652010080-4407fad1f20343aab7f8ce15be33e4f0
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОСУДАРСТВЕННЫЙ ЦЕНТР АГРОХИМИЧЕСКОЙ СЛУЖБЫ ""ВОРОНЕЖСКИЙ""",ФГБУ ГЦАС ВОРОНЕЖСКИЙ,1033600045797,"394087, Воронежская обл., г. Воронеж, ул. Ломоносова, д. 98", 51.716212, 39.226833,01.61,Предоставление услуг в области растениеводства,https://spark-interfax.ru/voronezhskaya-oblast-voronezh/fgbu-voronezhski-inn-3666028847-ogrn-1033600045797-6906d94c067f226ae0531b9aa8c04bb6
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СТАНЦИЯ АГРОХИМИЧЕСКОЙ СЛУЖБЫ ""ТАЛОВСКАЯ""",ФГБУ САС ТАЛОВСКАЯ,1023601357097,"397463, Воронежская обл., Таловский район, пос. 2-Го Участка Института Им. Докучаева, квартал 5-Й, стр. 84", 51.037701, 40.740326,01.61,Предоставление услуг в области растениеводства,https://spark-interfax.ru/voronezhskaya-oblast-talovski-raion/fgbu-sas-talovskaya-inn-3629000120-ogrn-1023601357097-6906d94c0680226ae0531b9aa8c04bb6
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ВОРОНЕЖСКАЯ ГОСУДАРСТВЕННАЯ АКАДЕМИЯ СПОРТА""",ФГБОУ ВО ВГАС,1065027031365,"394036, Воронежская обл., г. Воронеж, ул. Карла Маркса, д. 59", 51.666550, 39.201617,85.22,Образование высшее,https://spark-interfax.ru/voronezhskaya-oblast-voronezh/fgbu-vgas-inn-3666138230-ogrn-1065027031365-6906d94c0ad3226ae0531b9aa8c04bb6
