Название,Название Кратко,ИНН,адрес,lat,lon,Код оквэд,Основной вид деятельности,Ссылка
"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 60"" ГОРОДА ЧЕБОКСАРЫ ЧУВАШСКОЙ РЕСПУБЛИКИ",МБОУ СОШ № 60 Г. ЧЕБОКСАРЫ,1022101289319,"428038, Чувашская Республика - Чувашия, г. Чебоксары, бульвар А.Миттова, д. 47", 56.109398, 47.185891,85.13,Образование основное общее,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/mbu-sosh-n-g-cheboksary-inn-2129039248-ogrn-1022101289319-6906d9b1bfb9226ae0531b9aa8c04bb6
"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 35 С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ОТДЕЛЬНЫХ ПРЕДМЕТОВ"" ГОРОДА ЧЕБОКСАРЫ ЧУВАШСКОЙ РЕСПУБЛИКИ",МБОУ СОШ № 35 Г.ЧЕБОКСАРЫ,1022100981858,"428022, Чувашская Республика - Чувашия, г. Чебоксары, ул. Космонавта Николаева А.Г., д. 28", 56.124074, 47.277831,85.14,Образование среднее общее,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/mbu-sosh-n-g-cheboksary-inn-2127305920-ogrn-1022100981858-6906d9b1bf84226ae0531b9aa8c04bb6
"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОБРАЗОВАНИЯ№2"" ГОРОДА ЧЕБОКСАРЫ ЧУВАШСКОЙ РЕСПУБЛИКИ",МБОУ ЦО№2 Г.ЧЕБОКСАРЫ,1082130014405,"428028, Чувашская Республика - Чувашия, г. Чебоксары, проспект Тракторостроителей, д. 99", 56.115525, 47.329404,85.14,Образование среднее общее,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/mbu-tson-g-cheboksary-inn-2130047444-ogrn-1082130014405-6906d9b1dc73226ae0531b9aa8c04bb6
"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ФИНАНСОВОГО И РЕСУРСНОГО ОБЕСПЕЧЕНИЯ"" МОРГАУШСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ",МАУ ЦФРО МОРГАУШСКОГО МУНИЦИПАЛЬНОГО ОКРУГА,1052136009936,"429530, Чувашская Республика - Чувашия, Моргаушский район, с. Моргауши, ул. Мира, д. 6 каб. 222", 55.967999, 46.771867,69.20.2,Деятельность по оказанию услуг в области бухгалтерского учета,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-morgaushski-raion/much-tsfro-morgaushskogo-munitsipalnogo-okruga-inn-2112389519-ogrn-1052136009936-6906d9b1cdf1226ae0531b9aa8c04bb6
"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КУГЕЕВСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" МАРИИНСКО-ПОСАДСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ",МБОУ КУГЕЕВСКАЯ ООШ МАРИИНСКО-ПОСАДСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ,1042135004240,"429564, Чувашская Республика - Чувашия, Мариинско-Посадский район, д. Кугеево, ул. Молодежная, д. 34", 55.860956, 47.917028,85.13,Образование основное общее,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-mariinsko-posadski-raion/mbu-kugeevskaya-oosh-mariinsko-posadskogo-munitsipalnogo-okruga-chuvashskoi-respubliki-inn-2111007037-o-6906d9b1c072226ae0531b9aa8c04bb6
"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""МАРИИНСКО-ПОСАДСКАЯ ДЕТСКАЯ ШКОЛА ИСКУССТВ ИМ. А.Н. ТОГАЕВА"" ЧУВАШСКОЙ РЕСПУБЛИКИ",МАУДО МАРИИНСКО-ПОСАДСКАЯ ДШИ,1032135002921,"429570, Чувашская Республика - Чувашия, Мариинско-Посадский район, г. Мариинский Посад, ул. Московская, д. 14", 56.119884, 47.725548,85.41,Образование дополнительное детей и взрослых,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-mariinsko-posadski-raion/much-mariinsko-posadskaya-dshi-inn-2111006604-ogrn-1032135002921-6906d9b1c60a226ae0531b9aa8c04bb6
"АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""СПОРТИВНАЯ ШКОЛА ИМ.Е.НИКОЛАЕВОЙ"" МАРИИНСКО-ПОСАДСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ",АУ ДО СШ ИМ.Е.НИКОЛАЕВОЙ,1032135002305,"429570, Чувашская Республика - Чувашия, м.о. Мариинско-Посадский, г Мариинский Посад, ул Николаева, д. 91В", 56.103252, 47.707586,93.19,Деятельность в области спорта прочая,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-mariinsko-posadski-raion/much-ssh-im-e-nikolaevoi-inn-2111006435-ogrn-1032135002305-6906d9b1c07a226ae0531b9aa8c04bb6
"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ШОРШЕЛСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМЕНИ ЛЕТЧИКА-КОСМОНАВТА А.Г. НИКОЛАЕВА"" МАРИИНСКО-ПОСАДСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ",МАОУ ШОРШЕЛСКАЯ СОШ ИМЕНИ А.Г. НИКОЛАЕВА,1022102430943,"429584, Чувашская Республика - Чувашия, Мариинско-Посадский район, с. Шоршелы, ул. 30 Лет Победы, д. 14", 56.008763, 47.591447,85.14,Образование среднее общее,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-mariinsko-posadski-raion/much-shorshelskaya-sosh-imeni-a-g-nikolaeva-inn-2111005350-ogrn-1022102430943-6906d9b1c077226ae0531b9aa8c04bb6
"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БИЧУРИНСКАЯ НАЧАЛЬНАЯ ШКОЛА-ДЕТСКИЙ САД"" МАРИИНСКО-ПОСАДСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ",МБОУ БИЧУРИНСКАЯ НШ-ДС,1022102431031,"429561, Чувашская Республика - Чувашия, Мариинско-Посадский район, с. Бичурино, ул. Новая, владение 18", 55.867276, 47.788974,85.12,Образование начальное общее,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-mariinsko-posadski-raion/mbu-bichurinskaya-nsh-ds-inn-2111005914-ogrn-1022102431031-6906d9b1c070226ae0531b9aa8c04bb6
"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЭЛЬБАРУСОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" МАРИИНСКО-ПОСАДСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ",МБОУ ЭЛЬБАРУСОВСКАЯ СОШ,1022102432417,"429565, Чувашская Республика - Чувашия, Мариинско-Посадский район, д. Эльбарусово, ул. Центральная, д. 4", 55.967499, 47.790627,85.14,Образование среднее общее,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-mariinsko-posadski-raion/mbu-elbarusovskaya-sosh-inn-2111002230-ogrn-1022102432417-6906d9b1bfd5226ae0531b9aa8c04bb6
