Название,Название Кратко,ИНН,адрес,lat,lon,Код оквэд,Основной вид деятельности,Ссылка
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГЕТИК""",ООО ЭНЕРГЕТИК,6382054020,"445137, Самарская обл., Ставропольский район, с. Ташелка, ул. Менжинского, д. 87", 53.810876, 49.454865,55.90,Деятельность по предоставлению прочих мест для временного проживания,https://spark-interfax.ru/samarskaya-oblast-stavropolski-raion/ooo-energetik-inn-6382054020-ogrn-1076382008361-0b5862ad0c39486881772f07b1974667
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАК ГРУПП""",ООО МАК ГРУПП,6317161960,"443010, Самарская обл, г.о. Самара, вн.р-н Ленинский, г Самара, ул Фрунзе, д. 126, кв. 3", 53.193416, 50.094973,79.12,Деятельность туроператоров,https://spark-interfax.ru/samarskaya-oblast-samara/ooo-mak-grupp-inn-6317161960-ogrn-1226300047159-eef8ad7b68665495e053249aa8c0d095
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯХТЕННЫЙ КЛУБ ""ЛАСТОЧКА""",ООО ЯХТЕННЫЙ КЛУБ ЛАСТОЧКА,6315653124,"443010, Самарская обл., г. Самара, ул. Красноармейская, д. 1 офис 55", 53.194777, 50.090623,52.21.24,Деятельность стоянок для транспортных средств,https://spark-interfax.ru/samarskaya-oblast-samara/ooo-yakhtenny-klub-lastochka-inn-6315653124-ogrn-1136315005892-38786da85dca41149a9b507e6820c2ab
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МТЛ-ОТЕЛЬ""",ООО МТЛ-ОТЕЛЬ,6316117165,"443099, Самарская обл., г. Самара, ул. Алексея Толстого, д. 99", 53.190045, 50.086210,55.1,Деятельность гостиниц и прочих мест для временного проживания,https://spark-interfax.ru/samarskaya-oblast-samara/ooo-mtl-otel-inn-6316117165-ogrn-1066316097792-b53290a63a4d4c508b94dfafd170f6cb
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСТОГРАД""",ООО РЕСТОГРАД,6317156537,"443013, Самарская обл, г.о. Самара, вн.р-н Ленинский, г Самара, ул Дачная, д. 2, ком. 24", 53.201942, 50.141489,56.10,Деятельность ресторанов и услуги по доставке продуктов питания,https://spark-interfax.ru/samarskaya-oblast-samara/ooo-restograd-inn-6317156537-ogrn-1216300059470-d377f86d1a310a5ce053259aa8c0294b
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" БАЗИС""",ООО БАЗИС,6312061578,"443124, Самарская обл., г. Самара, просека 6-Я, д. 129 офис 18", 53.247916, 50.188117,77.12,Аренда и лизинг грузовых транспортных средств,https://spark-interfax.ru/samarskaya-oblast-samara/ooo-bazis-inn-6312061578-ogrn-1056312019686-67ca600bb91c4c6eac31a4998e7feefc
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ ВОДНОЛЫЖНОГО СПОРТА САМАРСКОЙ ОБЛАСТИ""",РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ФЕДЕРАЦИЯ ВОДНОЛЫЖНОГО СПОРТА САМАРСКОЙ ОБЛАСТИ,1036303388472,"443068, Самарская обл., г. Самара, ул. Ново-Садовая, д. 155 офис 107", 53.217195, 50.151434,93.12,Деятельность спортивных клубов,https://spark-interfax.ru/samarskaya-oblast-samara/oo-federatsiya-vodnolyzhnogo-sporta-samarskoi-oblasti-inn-6316073415-ogrn-1036303388472-6906d9585e97226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОММАСТЕР""",ООО ПРОММАСТЕР,6330058610,"446213, Самарская обл, г.о. Новокуйбышевск, г Новокуйбышевск, ул Молодежная, д. 8, ком. 23", 53.088807, 49.959625,43.99.5,Работы по монтажу стальных строительных конструкций,https://spark-interfax.ru/samarskaya-oblast-novokuibyshevsk/ooo-prommaster-inn-6330058610-ogrn-1136330003039-1c3ac20b2949401bbc780598a9f18605
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧИМА РУС""",ООО ЧИМА РУС,7329003914,"445043, Самарская обл., г. Тольятти, ул. Северная, зд. 111 пом. 276", 53.580857, 49.221331,29.32,Производство прочих комплектующих и принадлежностей для автотранспортных средств,https://spark-interfax.ru/samarskaya-oblast-tolyatti/ooo-chima-rus-inn-7329003914-ogrn-1117329001459-e56faeb80a964965a42e7fc5f5e105d6
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР РЕАЛИЗАЦИИ ПРОЕКТОВ ""МОЛОДЕЖЬ ВОЛГИ""",АНО МОЛОДЕЖЬ ВОЛГИ,1186313048118,"443045, Самарская обл., г. Самара, ул. Авроры, д. 122 кв. 631", 53.202819, 50.189079,93.29.9,"Деятельность зрелищно-развлекательная прочая, не включенная в другие группировки",https://spark-interfax.ru/samarskaya-oblast-samara/ano-molodezh-volgi-inn-6316245551-ogrn-1186313048118-6db541957c212caee0531b9aa8c0a83d
