Название,Название Кратко,ИНН,адрес,lat,lon,Код оквэд,Основной вид деятельности,Ссылка
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОРЕСУРСЫ""",ООО АГРОРЕСУРСЫ,2114903779,"429400, Чувашская Республика - Чувашия, Урмарский район, пгт. Урмары, ул. Промышленная, зд. 2", 55.689200, 47.940466,01.28.2,Выращивание хмеля,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-urmarski-raion/ooo-agroresursy-inn-2114903779-ogrn-1112137000095-9b5f469c61f144bdbe6f3009f92424e9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕКО""",ООО МЕКО,2115005680,"429900, Чувашская Республика - Чувашия, Цивильский район, г. Цивильск, ул. Трактористов, домовладение 2 к. А офис 1", 55.864871, 47.457169,25.99.29,"Производство прочих изделий из недрагоценных металлов, не включенных в другие группировки",https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-tsivilski-raion/ooo-meko-inn-2115005680-ogrn-1162130059486-03967a36c6c1493d8eebbcfd5a2da8b9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМЛИТСНАБ""",ООО ПРОМЛИТСНАБ,2130039193,"428022, Чувашская Республика - Чувашия, г. Чебоксары, шоссе Марпосадское, д. 1 ""Б"" каб. 4", 56.129697, 47.296928,25.62,Обработка металлических изделий механическая,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ooo-promlitsnab-inn-2130039193-ogrn-1082130005902-4717012d4188467d9ce814adbd0ace2c
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧУГУНОЛИТЕЙНЫЙ ЗАВОД""",ООО ТЕКСЛИТМАШ,2130033603,"428000, Чувашская Республика - Чувашия, г. Чебоксары, проезд Машиностроителей, зд. 1 стр. 5 пом. 26", 56.125105, 47.309336,24.51,Литье чугуна,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ooo-tekslitmash-inn-2130033603-ogrn-1082130000292-d55dc3f5545d45bd84527dc9c04fd5c1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВНЕШНЕТОРГОВАЯ ФИРМА ""ТЕКСТИЛЬМАШ""",ООО ВТФ ТЕКСТИЛЬМАШ,2130191624,"428000, Чувашская Республика - Чувашия, г. Чебоксары, проезд Машиностроителей, д. 1 офис 20", 56.125105, 47.309336,28.94,"Производство машин и оборудования для изготовления текстильных, швейных, меховых и кожаных изделий",https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ooo-vtf-tekstilmash-inn-2130191624-ogrn-1172130011680-378cdb0923384b318c671883d0d7e437
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУНО""",ООО РУНО,2115903411,"429921, Чувашская Республика - Чувашия, Цивильский район, с. Первое Степаново, ул. Молодежная, д. 1", 55.748929, 47.535049,01.50,Смешанное сельское хозяйство,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-tsivilski-raion/ooo-runo-inn-2115903411-ogrn-1062137011947-05627fd58fe5482a9e725e26292e10c4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧУВАШПТИЦА""",ООО ЧУВАШПТИЦА,2100017298,"429900, Чувашская Республика - Чувашия, м.о. Цивильский, г Цивильск, ул Трактористов, двлд. 15", 55.864871, 47.457169,01.47,Разведение сельскохозяйственной птицы,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-tsivilski-raion/ooo-chuvashptitsa-inn-2100017298-ogrn-1242100004332-1d2d4f9eaa277734e063259aa8c0a8a1
"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""МОРГАУШСКАЯ ДЕТСКАЯ ШКОЛА ИСКУССТВ ИМЕНИ Ф.С.ВАСИЛЬЕВА"" МОРГАУШСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ",МАУДО МДШИ,1022102631737,"429530, Чувашская Республика - Чувашия, Моргаушский район, с. Моргауши, ул. Мира, д. 8", 55.967874, 46.769696,85.41,Образование дополнительное детей и взрослых,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-morgaushski-raion/much-mdshi-inn-2112003109-ogrn-1022102631737-6906d9b1c536226ae0531b9aa8c04bb6
ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЧУВАШСКАЯ ЛАБОРАТОРИЯ СУДЕБНОЙ ЭКСПЕРТИЗЫ МИНИСТЕРСТВА ЮСТИЦИИ РОССИЙСКОЙ ФЕДЕРАЦИИ,ФБУ ЧУВАШСКАЯ ЛСЭ МИНЮСТА РОССИИ,1022100973828,"428031, Чувашская Республика - Чувашия, г. Чебоксары, ул. Кадыкова, д. 7", 56.103622, 47.296302,71.20.2,Судебно-экспертная деятельность,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/fgbu-chuvashskaya-lse-minyusta-rossii-inn-2127010282-ogrn-1022100973828-6906d9b1be99226ae0531b9aa8c04bb6
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ЧУВАШСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ ИМ. И.Я. ЯКОВЛЕВА""","ЧГПУ ИМ. И.Я. ЯКОВЛЕВА, ЧУВАШСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ ИМ. И.Я. ЯКОВЛЕВА, УНИВЕРСИТЕТ ЯКОВЛЕВА",1022101133218,"428000, Чувашская Республика - Чувашия, г. Чебоксары, ул. К.Маркса, д. 38", 56.138811, 47.247678,85.22,Образование высшее,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/fgbu-chgpu-im-i-ya-yakovleva-chuvashski-gosudarstvenny-pedagogicheski-universitet-im-i-ya-yakovleva-universitet-yakov-6906d9b1b8dd226ae0531b9aa8c04bb6
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧУВАШТОРГТЕХНИКА""",АО ЧУВАШТОРГТЕХНИКА,2128002220,"428020, Чувашская Республика - Чувашия, г. Чебоксары, проезд Базовый, д. 28", 56.101200, 47.240981,27.90,Производство прочего электрического оборудования,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ao-chuvashtorgtekhnika-inn-2128002220-ogrn-1022101131051-bf4b616280b94ea09ea29d576a4db141
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСХМЕЛЬ""",ООО РУСХМЕЛЬ,2130217417,"429069, Чувашская Республика - Чувашия, м.о. Ядринский, д Наснары, ул Речная, зд. 1А", 55.856649, 46.379989,01.28,"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур",https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-yadrinski-raion/ooo-ruskhmel-inn-2130217417-ogrn-1202100001949-a05015b3b5260558e053189aa8c0660f
"ДАЧНОЕ НЕКОММЕРЧЕСКОЕ ПАРТНЕРСТВО ""УДАЧНОЕ""",ДНП УДАЧНОЕ,1092136000384,"429530, Чувашская Республика - Чувашия, Моргаушский район, с. Моргауши, ул. Гагарина, д. 2", 55.969086, 46.772121,68.1,Покупка и продажа собственного недвижимого имущества,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-morgaushski-raion/udachnoe-inn-2112390730-ogrn-1092136000384-6906d9b1e302226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯЛЬЧИКСКИЙ ХЛЕБОЗАВОД""",ООО ЯЛЬЧИКСКИЙ ХЛЕБОЗАВОД,2120002476,"429380, Чувашская Республика - Чувашия, Яльчикский район, с. Яльчики, ул. Октябрьская, д. 19", 55.164848, 48.001598,10.71,"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения",https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-yalchikski-raion/ooo-yalchikski-khlebozavod-inn-2120002476-ogrn-1032132000482-e62b6bbc57ef4db7916552aa9e44811f
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНВЕЙЕРПРИВОД""",ООО КОНВЕЙЕРПРИВОД,2130116200,"428003, Чувашская Республика - Чувашия, г. Чебоксары, проезд Базовый, зд. 6А литера Б", 56.106395, 47.246617,25.62,Обработка металлических изделий механическая,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ooo-konveierprivod-inn-2130116200-ogrn-1132130002916-3907807853aa4e67ae7f84388d52c0ab
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРАСНОАРМЕЙСКИЙ ХЛЕБОКОМБИНАТ""",ООО КРАСНОАРМЕЙСКИЙ ХЛЕБОКОМБИНАТ,2109902219,"429620, Чувашская Республика - Чувашия, Красноармейский район, с. Красноармейское, ул. Первомайская, д. 10", 55.771989, 47.181915,10.71,"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения",https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-krasnoarmeiski-raion/ooo-krasnoarmeiski-khlebokombinat-inn-2109902219-ogrn-1042137006284-1d36fda667bf4e59b96ca2d9c1146516
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ"" СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ -28""",ООО СУ-28,2128042174,"428020, Чувашская Республика - Чувашия, г. Чебоксары, ул. Петрова, д. 6 пом. 1 офис 4", 56.119674, 47.252042,43.3,Работы строительные отделочные,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ooo-su-inn-2128042174-ogrn-1022101132558-1c38500a74ad494babec3c7277faa017
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕМЕТРА""",ООО ДЕМЕТРА,2138000141,"429046, Чувашская Республика - Чувашия, м.о. Красночетайский, д Санкино, ул Ленина, д. 6", 55.732970, 46.317399,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-krasnochetaiski-raion/ooo-demetra-inn-2138000141-ogrn-1212100007536-ce847e4456b11191e053219aa8c06944
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОЧКА РОСТА""",ООО ТОЧКА РОСТА,2130128742,"428033, Чувашская Республика - Чувашия, г.о. город Чебоксары, г Чебоксары, ул Пирогова, д. 4, помещ. 3, офис 6", 56.142847, 47.229510,28.99,"Производство прочих машин и оборудования специального назначения, не включенных в другие группировки",https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ooo-tochka-rosta-inn-2130128742-ogrn-1132130015555-5d776f492c6f476e8adff619ac903b6d
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАВКА ВКУСА""",ООО ЛАВКА ВКУСА,2116000067,"428034, Чувашская Республика - Чувашия, г. Чебоксары, проспект Мира, д. 96 кв. 246", 56.108624, 47.262162,46.36,"Торговля оптовая сахаром, шоколадом и сахаристыми кондитерскими изделиями",https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ooo-lavka-vkusa-inn-2116000067-ogrn-1152135000049-1add4fa6d6e345c2a241d6311c8d624e
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОВРЕМЕННАЯ СТОМАТОЛОГИЯ""",ООО СОВРЕМЕННАЯ СТОМАТОЛОГИЯ,2112004102,"429530, Чувашская Республика - Чувашия, Моргаушский район, с. Моргауши, ул. Мира, д. 8 к. 2", 55.967874, 46.769696,86.23,Стоматологическая практика,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-morgaushski-raion/ooo-sovremennaya-stomatologiya-inn-2112004102-ogrn-1122136000381-4df34fe8b88e4cd3adcd95b31cb53f80
СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМ.ЧКАЛОВА,СХПК ИМ.ЧКАЛОВА,1022102633354,"429536, Чувашская Республика - Чувашия, Моргаушский район, д. Изедеркино, ул. 30 Лет Победы, д. 57", 55.871262, 46.681294,01.41,"Разведение молочного крупного рогатого скота, производство сырого молока",https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-morgaushski-raion/koop-im-chkalova-inn-2112001912-ogrn-1022102633354-bac0598e80854e12bbd39a9579a72389
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПОТРЕБИТЕЛЬСКИЙ ОБСЛУЖИВАЮЩИЙ КООПЕРАТИВ ""РОДНИК""",СПОК РОДНИК,2109902868,"429625, Чувашская Республика - Чувашия, Красноармейский район, д. Малые Челлы, ул. Луговая, д. 1", 55.753708, 47.268813,10.1,Переработка и консервирование мяса и мясной пищевой продукции,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-krasnoarmeiski-raion/koop-rodnik-inn-2109902868-ogrn-1072137000484-6906d9b18d90226ae0531b9aa8c04bb6
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СЕЛЬСКОХОЗЯЙСТВЕННЫЙ КОМПЛЕКС ЗВЕЗДА,ООО СХК ЗВЕЗДА,2111002663,"429562, Чувашская Республика - Чувашия, Мариинско-Посадский район, с. Первое Чурашево, ул. Ивановых, домовладение 14", 55.945277, 47.674997,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-mariinsko-posadski-raion/ooo-skhk-zvezda-inn-2111002663-ogrn-1192130004923-87028cd514f31c27e0531b9aa8c070af
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ СНАБЖЕНЧЕСКО-СБЫТОВОЙ ПЕРЕРАБАТЫВАЮЩИЙ ЖИВОТНОВОДЧЕСКИЙ ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""ЧАПАЕВСКИЙ""",СССПЖПК ЧАПАЕВСКИЙ,1202100000850,"429551, Чувашская Республика - Чувашия, Моргаушский район, с. Юнга, ул. Центральная, зд. 38 пом. 2", 56.048068, 46.636092,10.11,Переработка и консервирование мяса,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-morgaushski-raion/koop-chapaevski-inn-2112004871-ogrn-1202100000850-9e1cd22042143ec5e053179aa8c0801a
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АГРОФИРМА ""КОЛЬЦОВКА""",ООО А/Ф КОЛЬЦОВКА,2104006441,"429208, Чувашская Республика - Чувашия, Вурнарский район, д. Кольцовка, ул. Центральная, д. 35", 55.426055, 47.094865,01.1,Выращивание однолетних культур,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-vurnarski-raion/ooo-koltsovka-inn-2104006441-ogrn-1052133002569-39cf62583e8a4eba8f07e0f89653eb68
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""МИР""",СХПК МИР,1022101830850,"429363, Чувашская Республика - Чувашия, Батыревский район, д. Сигачи, ул. Победы, д. 2", 55.017945, 47.279851,01.11.1,Выращивание зерновых культур,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-batyrevski-raion/koop-mir-inn-2103004145-ogrn-1022101830850-ecc9bb21d56d4089a78c43c9cb0112a4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОФИРМА ""БРОНЕВИК""",ООО АГРОФИРМА БРОНЕВИК,2103902935,"429350, Чувашская Республика - Чувашия, с. Батырево, ул. Мичурина, д. 22", 55.062313, 47.595124,01.1,Выращивание однолетних культур,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-batyrevski-raion/ooo-agrofirma-bronevik-inn-2103902935-ogrn-1052132011865-617889ac62d17e1ce0531b9aa8c027ab
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИСНО-ЛОГИСТИЧЕСКИЙ ЦЕНТР ""ТМ""",ООО СЛЦ ТМ,2127309097,"428003, Чувашская Республика - Чувашия, г.о. город Чебоксары, г Чебоксары, пр-кт Мира, д. 1, административное зд. 2, офис 601", 56.124318, 47.284550,33.12,Ремонт машин и оборудования,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ooo-slts-tm-inn-2127309097-ogrn-1022100976204-5ca6012c4720459c84d4a8dff5d47b75
"КОЛХОЗ ""ЗАРЯ""",КОЛХОЗ ЗАРЯ,5832001735,"442924, Пензенская обл., Тамалинский район, д. Санниковка, ул. Центральная, д. 1", 52.673572, 43.577442,01.11.1,Выращивание зерновых культур,https://spark-interfax.ru/penzenskaya-oblast-tamalinski-raion/kolkhoz-zarya-inn-5832001735-ogrn-1025801070239-11e387264ea44aebbea5b75d4a975cd0
АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ БАЛКАШИНСКИЙ СЕЛЬСОВЕТ МУНИЦИПАЛЬНОГО РАЙОНА БЕЛИНСКИЙ РАЙОН ПЕНЗЕНСКОЙ ОБЛАСТИ,АДМИНИСТРАЦИЯ БАЛКАШИНСКОГО СЕЛЬСОВЕТА БЕЛИНСКОГО РАЙОНА ПЕНЗЕНСКОЙ ОБЛАСТИ,1115802001149,"442256, Пензенская обл., Белинский район, с. Балкашино, ул. Центральная, зд. 2", 52.877035, 43.625430,84.11.35,Деятельность органов местного самоуправления городских округов,https://spark-interfax.ru/penzenskaya-oblast-belinski-raion/mku-administratsiya-balkashinskogo-selsoveta-belinskogo-raiona-penzenskoi-oblasti-inn-5810008021-ogrn-1115802001149-6906d991b5c4226ae0531b9aa8c04bb6
КОМИТЕТ МЕСТНОГО САМОУПРАВЛЕНИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ БИКМОСЕЕВСКИЙ СЕЛЬСОВЕТ МУНИЦИПАЛЬНОГО РАЙОНА НЕВЕРКИНСКИЙ РАЙОН ПЕНЗЕНСКОЙ ОБЛАСТИ,КОМИТЕТ МЕСТНОГО САМОУПРАВЛЕНИЯ БИКМОСЕЕВСКОГО СЕЛЬСОВЕТА НЕВЕРКИНСКОГО РАЙОНА ПЕНЗЕНСКОЙ ОБЛАСТИ,1065803016630,"442481, Пензенская обл., Неверкинский район, с. Бикмосеевка, ул. Центральная, владение 57В", 52.809222, 46.819462,84.11.35,Деятельность органов местного самоуправления городских округов,https://spark-interfax.ru/penzenskaya-oblast-neverkinski-raion/mku-komitet-mestnogo-samoupravleniya-bikmoseevskogo-selsoveta-neverkinskogo-raiona-penzenskoi-oblasti-inn-5825000515-ogrn-1065-6906d99190aa226ae0531b9aa8c04bb6
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ КРЕДИТНЫЙ ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""НАЧАЛО""",СКПК НАЧАЛО,5810007660,"442250, Пензенская обл., Белинский район, г. Белинский, пл. Комсомольская, д. 19", 52.965751, 43.417588,64.9,"Деятельность по предоставлению прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению",https://spark-interfax.ru/penzenskaya-oblast-belinski-raion/koop-nachalo-inn-5810007660-ogrn-1105802000611-6906d991acf8226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЮГАН""",ООО СЮГАН,5825000811,"442480, Пензенская обл., Неверкинский район, с. Исикеево, ул. Дружбы, д. 15", 52.797440, 46.587108,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/penzenskaya-oblast-neverkinski-raion/ooo-syugan-inn-5825000811-ogrn-1095803000150-a2491790643545ea895d7c6723c4f34a
