Название,Название Кратко,ИНН,адрес,lat,lon,Код оквэд,Основной вид деятельности,Ссылка
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОЛОЧНЫЙ КОМБИНАТ КУПИНСКИЙ""",ООО МК КУПИНСКИЙ,6319212120,"443022, Самарская обл., г. Самара, шоссе Заводское, д. 20 офис 101", 53.201164, 50.259739,10.51,Производство молока (кроме сырого) и молочной продукции,https://spark-interfax.ru/samarskaya-oblast-samara/ooo-mk-kupinski-inn-6319212120-ogrn-1166313147241-0422236d9d924851b1b5aeb5519a4a7b
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТО-ПЛЮС""",ООО АВТО-ПЛЮС,6372014886,"446453, Самарская обл., г. Похвистнево, ул. Мира, д. 62", 53.647093, 52.134087,45.3,"Торговля автомобильными деталями, узлами и принадлежностями",https://spark-interfax.ru/samarskaya-oblast-pokhvistnevo/ooo-avto-plyus-inn-6372014886-ogrn-1106372000393-6e8bfe6963a944ca8debf016b8705691
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""ЧЕРЕМШАН""",СПК ЧЕРЕМШАН,6374000470,"446813, Самарская обл., Кошкинский район, с. Старое Максимкино, ул. Луговая, д. 48", 54.474255, 50.377319,01.41,"Разведение молочного крупного рогатого скота, производство сырого молока",https://spark-interfax.ru/samarskaya-oblast-koshkinski-raion/koop-cheremshan-inn-6374000470-ogrn-1026303766246-d542bee64d214e09a25cca6ee27ab1d0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ ДЕЛИКАТЕСОФФ""",ООО КОМПАНИЯ ДЕЛИКАТЕСОФФ,6319726486,"443022, Самарская обл., г. Самара, проспект Кирова, д. 2 литера ДД1", 53.182018, 50.294266,10.13,Производство продукции из мяса убойных животных и мяса птицы,https://spark-interfax.ru/samarskaya-oblast-samara/ooo-kompaniya-delikatesoff-inn-6319726486-ogrn-1106319003823-9d077717bd9b438db5c99c711908a840
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""САМАРСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ ИМЕНИ АКАДЕМИКА С.П.КОРОЛЕВА""","САМАРСКИЙ УНИВЕРСИТЕТ, САМАРСКИЙ УНИВЕРСИТЕТ ИМ. КОРОЛЕВА",1026301168310,"443086, Самарская обл., г. Самара, шоссе Московское, д. 34", 53.211990, 50.177631,85.22,Образование высшее,https://spark-interfax.ru/samarskaya-oblast-samara/fgu-samarski-universitet-samarski-universitet-im-koroleva-inn-6316000632-ogrn-1026301168310-6906d9583b7f226ae0531b9aa8c04bb6
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ ЦЕНТР РАЗВИТИЯ РЕБЕНКА ""ДОМАШНИЙ ДЕТСКИЙ САД""",АНОО ДО ДОМАШНИЙ ДЕТСКИЙ САД,1116300004182,"446001, Самарская обл., г. Сызрань, ул. Кирова, д. 75", 53.160059, 48.475627,85.11,Образование дошкольное,https://spark-interfax.ru/samarskaya-oblast-syzran/ano-domashni-detski-sad-inn-6325060081-ogrn-1116300004182-6906d957d7cf226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САМАРСКИЙ ДЕЛОВОЙ КЛУБ""",ООО СДК,6315516030,"443086, Самарская обл., г. Самара, ул. Ерошевского, д. 3А ПОДЪЕЗД 2, офис 322", 53.217089, 50.158277,60.10,Деятельность в области радиовещания,https://spark-interfax.ru/samarskaya-oblast-samara/ooo-sdk-inn-6315516030-ogrn-1036300448359-9eee9b8add2945f0adc981467d12598c
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САМАРСКАЯ ИНДЕЙКА""",ООО САМАРСКАЯ ИНДЕЙКА,6317122778,"443099, Самарская обл., г. Самара, ул. Водников, д. 60 ком. 54-33", 53.184416, 50.078918,01.47,Разведение сельскохозяйственной птицы,https://spark-interfax.ru/samarskaya-oblast-samara/ooo-samarskaya-indeika-inn-6317122778-ogrn-1186313004130-63ce97e63e9b8839e0531b9aa8c0591a
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРГИЕВСКОЕ""",ООО СЕРГИЕВСКОЕ,6381030813,"446145, Самарская обл., Красноармейский район, пос. Ленинский, пл. Центральная, д. 1", 52.740725, 50.134620,01.11.1,Выращивание зерновых культур,https://spark-interfax.ru/samarskaya-oblast-krasnoarmeiski-raion/ooo-sergievskoe-inn-6381030813-ogrn-1146381000171-feac3b6c933949e18c65f9a520e49d59
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХЛЕБ""",АО ХЛЕБ,6325010612,"446001, Самарская обл., г. Сызрань, ул. Карла Маркса, д. 2", 53.146196, 48.458494,10.71,"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения",https://spark-interfax.ru/samarskaya-oblast-syzran/ao-khleb-inn-6325010612-ogrn-1026303058440-5e3d149eba7140aaa491017abb4b4aed
"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО "" МАЛЫШЕВСКОЕ""",ОАО МАЛЫШЕВСКОЕ,6371000070,"Самарская обл, м.р-н Кинельский, с.п. Малая Малышевка, тер. Малышевское, зд. 1", 53.272119, 51.001128,10.91.1,"Производство готовых кормов (смешанных и несмешанных), кроме муки и гранул из люцерны, для животных, содержащихся на фермах",https://spark-interfax.ru/samarskaya-oblast-kinelski-raion/pao-malyshevskoe-inn-6371000070-ogrn-1026303273512-5d903d5e7f304d279571e6a9e8554a09
"САМАРСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР ПОДДЕРЖКИ ИНИЦИАТИВ""",СРОО ЦЕНТР ПОДДЕРЖКИ ИНИЦИАТИВ,1036303397855,"443114, Самарская обл., г. Самара, проспект Кирова, д. 315 офис 54", 53.248408, 50.231938,94.99,"Деятельность прочих общественных организаций и некоммерческих организаций, кроме религиозных и политических организаций",https://spark-interfax.ru/samarskaya-oblast-samara/oo-tsentr-podderzhki-initsiativ-inn-6315949957-ogrn-1036303397855-6906d958771e226ae0531b9aa8c04bb6
