Название,Название Кратко,ИНН,адрес,lat,lon,Код оквэд,Основной вид деятельности,Ссылка
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕХКОМ""",ООО ИНТЕХКОМ,2130167519,"428028, Чувашская Республика - Чувашия, г. Чебоксары, проспект Тракторостроителей, д. 70 к. 1 кв. 20", 56.105892, 47.326929,25.99.2,Производство прочих металлических изделий,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ooo-intekhkom-inn-2130167519-ogrn-1162130052545-865790c29fb64495a8891bead1799c67
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОФОБУВЬ""",ООО ПРОФОБУВЬ,2129004598,"428028, Чувашская Республика - Чувашия, г. Чебоксары, проспект Тракторостроителей, д. 121", 56.119444, 47.359240,15.20,Производство обуви,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ooo-profobuv-inn-2129004598-ogrn-1022101290177-d6b9d543fb90492d976a9f9b6f528bb9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСАМАТ""",ООО АСАМАТ,2124035610,"429954, Чувашская Республика - Чувашия, г. Новочебоксарск, ул. Набережная, д. 40", 56.132993, 47.453082,68.20.2,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-novocheboksarsk/ooo-asamat-inn-2124035610-ogrn-1122124000503-5c044b6187b7427aa05539448f0df393
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ "" АВАНГАРД""",СХПК АВАНГАРД,2102000275,"429255, Чувашская Республика - Чувашия, Аликовский район, д. Верхние Карачуры, ул. Мира, д. 1", 55.681747, 46.875650,01.41,"Разведение молочного крупного рогатого скота, производство сырого молока",https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-alikovski-raion/koop-avangard-inn-2102000275-ogrn-1022102029564-92411234946c4314bcb5a24d639187ac
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ КОРЭШ ЧУВАШСКОЙ РЕСПУБЛИКИ""",РОО ФЕДЕРАЦИЯ КОРЭШ ЧУВАШСКОЙ РЕСПУБЛИКИ,1062100024150,"429360, Чувашская Республика - Чувашия, Батыревский район, с. Шыгырдан, ул. Ленина, д. 39", 55.041319, 47.536230,94.99,"Деятельность прочих общественных организаций и некоммерческих организаций, кроме религиозных и политических организаций",https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-batyrevski-raion/oo-federatsiya-koresh-chuvashskoi-respubliki-inn-2103903738-ogrn-1062100024150-6906d9b1d298226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОФИРМА ""ПУТИЛОВКА""",ООО АГРОФИРМА ПУТИЛОВКА,2105004743,"429724, Чувашская Республика - Чувашия, Ибресинский район, д. Нижние Абакасы, ул. Ленина, д. 33Г", 55.409726, 47.091830,01.1,Выращивание однолетних культур,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-ibresinski-raion/ooo-agrofirma-putilovka-inn-2105004743-ogrn-1072133000280-c2400e3e757040d5be287837c3bd1cca
СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМ. ЛЕНИНА,СХПК ИМ. ЛЕНИНА,2121000545,"429281, Чувашская Республика - Чувашия, Янтиковский район, с. Турмыши, ул. Советская, д. 14", 55.519478, 47.666347,01.5,Смешанное сельское хозяйство,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-yantikovski-raion/koop-lenina-inn-2121000545-ogrn-1022102229710-99f5a17c01b74554b15843977ef08841
СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМЕНИ ЛЕНИНА,СХПК ИМЕНИ ЛЕНИНА,1022101830838,"429386, Чувашская Республика - Чувашия, Яльчикский район, с. Большие Яльчики", 55.171870, 48.055790,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-yalchikski-raion/koop-imeni-lenina-inn-2120000253-ogrn-1022101830838-1b7236f2556748be95592d0c5020041f
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""ЭКРА""",ООО НПП ЭКРА,2126001172,"428020, Чувашская Республика - Чувашия, г. Чебоксары, проспект И.Я.Яковлева, д. 3 пом. 541", 56.112037, 47.258797,27.12,Производство электрической распределительной и регулирующей аппаратуры,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ooo-ekra-inn-2126001172-ogrn-1022101135726-5e6cb66b1a444cbc92d753901bbf1b97
"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕКОН""",ЗАО РЕКОН,2127321256,"428037, Чувашская Республика - Чувашия, г. Чебоксары, проезд Дорожный, д. 20 к. А", 56.112746, 47.311208,28.99.9,"Производство оборудования специального назначения, не включенного в другие группировки",https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ao-rekon-inn-2127321256-ogrn-1022100966392-12b9589c9f2245c3905627cdc20ef96d
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНСТРУКТОРСКОЕ БЮРО ЭЛЕКТРОАППАРАТУРЫ""",ООО КБЭА,2130147865,"428034, Чувашская Республика - Чувашия, г.о. город Чебоксары, г Чебоксары, ул Т.Кривова, зд. 13А", 56.145002, 47.191946,27.90,Производство прочего электрического оборудования,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ooo-kbea-inn-2130147865-ogrn-1142130017072-75590e5a7faa45d3ac760fc740c2713a
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИНИТА""",ООО БИНИТА,2130084005,"428017, Чувашская Республика - Чувашия, г. Чебоксары, ул. Т.Кривова, д. 4А пом. 204", 56.144641, 47.195760,14.13,Производство прочей верхней одежды,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ooo-binita-inn-2130084005-ogrn-1112130001323-ff0f61f4e1e840d68394ed45084f985f
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖЕЛЕЗОБЕТОННЫЕ КОНСТРУКЦИИ № 9""",ООО ЖБК № 9,2129043580,"428037, Чувашская Республика - Чувашия, г. Чебоксары, проезд Кабельный, д. 5", 56.118352, 47.289703,23.61,Производство изделий из бетона для использования в строительстве,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ooo-zhbk-n-inn-2129043580-ogrn-1022101272995-d6dade7c278c42eb927439ed883e7ce8
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗАВОД ""ЭЛЕКТРОПРИБОР""",АО ЗАВОД ЭЛЕКТРОПРИБОР,2122000643,"429822, Чувашская Республика - Чувашия, г. Алатырь, пл. Октябрьской Революции, д. 23", 54.855575, 46.599206,27.12,Производство электрической распределительной и регулирующей аппаратуры,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-alatyr/ao-zavod-elektropribor-inn-2122000643-ogrn-1022101628340-b8da95fbf5b3481286e765f075534e64
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДРИАДА-ЛЕСТНИЦЫ""",ООО ДРИАДА-ЛЕСТНИЦЫ,2111008584,"429570, Чувашская Республика - Чувашия, Мариинско-Посадский район, г. Мариинский Посад, ул. Котовского, д. 30", 56.120537, 47.703555,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-mariinsko-posadski-raion/ooo-driada-lestnitsy-inn-2111008584-ogrn-1132135000106-c904999261df42c2b3ed19f8bd2c3544
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧЕБОКСАРСКИЙ ЗАВОД ""МЕТАЛЛИСТ""",АО ЧЗМ,2129009042,"428023, Чувашская Республика - Чувашия, г. Чебоксары, ул. Гражданская, д. 77", 56.123100, 47.202083,25.62,Обработка металлических изделий механическая,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ao-chzm-inn-2129009042-ogrn-1022101269662-947e56300b1f4af08a316332f2c1f34b
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭЛЕКТРОАВТОМАТ""",АО ЭЛЕКТРОАВТОМАТ,2122000604,"429820, Чувашская Республика - Чувашия, г. Алатырь, ул. Б.Хмельницкого, д. 19А", 54.841351, 46.597939,30.30.5,Производство частей и принадлежностей летательных и космических аппаратов,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-alatyr/ao-elektroavtomat-inn-2122000604-ogrn-1022101630561-d1ace8063f284d2e964b6889006647d0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАНКОПРОМ""",ООО СТАНКОПРОМ,2130150025,"428033, Чувашская Республика - Чувашия, г.о. город Чебоксары, г Чебоксары, ул Пирогова, д. 14, офис 14", 56.138017, 47.207756,28.41,Производство металлообрабатывающего оборудования,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ooo-stankoprom-inn-2130150025-ogrn-1152130001704-1be6cf9bc742435289cef6225bd2318f
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РСТ""",ООО РСТ,2124046315,"429960, Чувашская Республика - Чувашия, г. Новочебоксарск, ул. 10 Пятилетки, д. 23 пом. 35", 56.107096, 47.455866,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-novocheboksarsk/ooo-rst-inn-2124046315-ogrn-1192130005693-88a8ff7897bf5927e0531b9aa8c0fea4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОМА""",ООО ДОМА,2130118857,"428003, Чувашская Республика - Чувашия, г.о. город Чебоксары, г Чебоксары, пр-д Кабельный, д. 5, помещ. 1", 56.118352, 47.289703,31.0,Производство мебели,https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-cheboksary/ooo-doma-inn-2130118857-ogrn-1132130005567-45a2c6715a794ddd9197348e50b6c0ea
