Название,Название Кратко,ИНН,адрес,lat,lon,Код оквэд,Основной вид деятельности,Ссылка
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ "" ЯНГОРЧИНО """,СХПК ЯНГОРЧИНО,2104000182,"429206, Чувашская Республика - Чувашия, Вурнарский район, с. Янгорчино, ул. Советская, д. 2А", 55.537117, 47.107411,01.41,"Разведение молочного крупного рогатого скота, производство сырого молока",https://spark-interfax.ru/chuvashskaya-respublika-chuvashiya-vurnarski-raion/koop-yangorchino-inn-2104000182-ogrn-1022102032061-47fa4c2d573e4117aa36e733a47fadf3
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ЭЛЕКТРОННО-МЕХАНИЧЕСКИХ ПРИБОРОВ""",АО НИИЭМП,5834054179,"440600, Пензенская обл., г. Пенза, ул. Каракозова, д. 44", 53.211056, 45.016043,26.11,Производство элементов электронной аппаратуры,https://spark-interfax.ru/penzenskaya-oblast-penza/ao-niiemp-inn-5834054179-ogrn-1115834003185-0c0e2fac1d884e9b94a0f1e67f62b10a
"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЦЕНТР ГИГИЕНЫ И ЭПИДЕМИОЛОГИИ В ПЕНЗЕНСКОЙ ОБЛАСТИ""",ФБУЗ ЦЕНТР ГИГИЕНЫ И ЭПИДЕМИОЛОГИИ В ПЕНЗЕНСКОЙ ОБЛАСТИ,1055803503359,"440026, Пензенская обл., г. Пенза, ул. Лермонтова, стр. 36", 53.179938, 44.992516,86.90.1,Деятельность организаций санитарно-эпидемиологической службы,https://spark-interfax.ru/penzenskaya-oblast-penza/fgbu-tsentr-gigieny-i-epidemiologii-v-penzenskoi-oblasti-inn-5837023637-ogrn-1055803503359-6906d99188e4226ae0531b9aa8c04bb6
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЦЕНТР ГИГИЕНЫ И ЭПИДЕМИОЛОГИИ № 59 ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА""",ФГБУЗ ЦГИЭ № 59 ФМБА РОССИИ,1025801499162,"442962, Пензенская обл., г. Заречный, ул. Комсомольская, стр. 1Б", 53.191411, 45.179457,86.90.1,Деятельность организаций санитарно-эпидемиологической службы,https://spark-interfax.ru/penzenskaya-oblast-zarechny/fgbu-fgbuz-tsgie-n-fmba-rossii-inn-5838065012-ogrn-1025801499162-6906d991841b226ae0531b9aa8c04bb6
"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ПЕНЗЕНСКОЙ ОБЛАСТИ ""ЛЕСОПОЖАРНЫЙ ЦЕНТР""",ГБУ ПО ЛЕСОПОЖАРНЫЙ ЦЕНТР,1125834000665,"440014, Пензенская обл., г. Пенза, проезд Лодочный, д. 10", 53.172740, 45.101843,02.40.1,Предоставление услуг в области лесоводства,https://spark-interfax.ru/penzenskaya-oblast-penza/gbu-lesopozharny-tsentr-inn-5834054789-ogrn-1125834000665-6906d991bcad226ae0531b9aa8c04bb6
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""ПЕТРОВСКИЙ""",СПК ПЕТРОВСКИЙ,5806002877,"442084, Пензенская обл., Башмаковский район, с. Никульевка, ул. Ясная, д. 12", 53.062716, 42.836436,01.11.1,Выращивание зерновых культур,https://spark-interfax.ru/penzenskaya-oblast-bashmakovski-raion/koop-petrovski-inn-5806002877-ogrn-1025800642856-8265e13e0e2a41c2ab1836cc2baca64e
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""БОГАТЫРЬ""",СПК БОГАТЫРЬ,5823350747,"442376, Пензенская обл., Мокшанский район, с. Муратовка, ул. Школьная, д. 16", 53.635829, 44.715143,01.13.3,Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,https://spark-interfax.ru/penzenskaya-oblast-mokshanski-raion/koop-bogatyr-inn-5823350747-ogrn-1105809000318-617889922c4e7e1ce0531b9aa8c027ab
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОМАКС""",ООО АГРОМАКС,5810000946,"442272, Пензенская обл., Белинский район, с. Ширяево, ул. Бугор, д. 47", 52.977204, 43.000930,01.13.1,Выращивание овощей,https://spark-interfax.ru/penzenskaya-oblast-belinski-raion/ooo-agromaks-inn-5810000946-ogrn-1175835014365-595b06f3adc22f29e0531c9aa8c063ef
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЩЕДРЫЙ УРОЖАЙ""",ООО ЩЕДРЫЙ УРОЖАЙ,5827000711,"442135, Пензенская обл., Нижнеломовский район, с. Кувак-Никольское, ул. Центральная, д. 7", 53.620204, 43.504662,01.13.3,Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,https://spark-interfax.ru/penzenskaya-oblast-nizhnelomovski-raion/ooo-shchedry-urozhai-inn-5827000711-ogrn-1155835006843-a883ffb31df241509c9b891de1bc37e7
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФАНЕРНЫЙ ЗАВОД ""ВЛАСТЬ ТРУДА""",АО ФАНЕРНЫЙ ЗАВОД ВЛАСТЬ ТРУДА,5804001081,"442150, Пензенская обл., Нижнеломовский район, г. Нижний Ломов, пер. Широкий, домовладение 31", 53.525628, 43.663569,16.21.1,"Производство фанеры, деревянных фанерованных панелей и аналогичных слоистых материалов, древесных плит из древесины и других одревесневших материалов",https://spark-interfax.ru/penzenskaya-oblast-nizhnelomovski-raion/ao-fanerny-zavod-vlast-truda-inn-5804001081-ogrn-1025800972988-7c631a5d343e4701adbf0fc705151a67
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПОНЕНТ-М""",ООО КОМПОНЕНТ-М,5834118591,"Пензенская обл, г.о. город Пенза, г Пенза, ул Гагарина, стр. 11Ш, офис 219", 53.221977, 45.001413,26.30.3,Производство запасных частей и комплектующих коммуникационного оборудования,https://spark-interfax.ru/penzenskaya-oblast-penza/ooo-komponent-m-inn-5834118591-ogrn-1175835011505-591525efe5655bb9e0531c9aa8c084ba
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗД МАСТЕР""",ООО 3Д МАСТЕР,5834054027,"440004, Пензенская обл., г. Пенза, ул. Рябова, стр. 2", 53.138888, 45.001860,25.62,Обработка металлических изделий механическая,https://spark-interfax.ru/penzenskaya-oblast-penza/ooo-d-master-inn-5834054027-ogrn-1115834003031-8605f7e70ca640d0be03d18e20dcf08b
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЗИЯ ЦЕМЕНТ""",ООО АЗИЯ ЦЕМЕНТ,7713591359,"442650, Пензенская обл., Никольский район, с. Усть-Инза, ул. Родники, д. 65", 53.882650, 45.815371,23.51,Производство цемента,https://spark-interfax.ru/penzenskaya-oblast-nikolski-raion/ooo-aziya-tsement-inn-7713591359-ogrn-1067746810075-52d3b0da3eb94f459b70cac0fb0332f5
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОРЕНБУРГТОППРОМ""",АО ОРЕНБУРГТОППРОМ,5610033172,"460014, Оренбургская обл., г. Оренбург, ул. Пролетарская, д. 4", 51.759294, 55.105142,47.78.6,"Торговля розничная бытовым жидким котельным топливом, газом в баллонах, углем, древесным топливом, топливным торфом в специализированных магазинах",https://spark-interfax.ru/orenburgskaya-oblast-orenburg/ao-orenburgtopprom-inn-5610033172-ogrn-1025601018673-1d0f076c1b884cf9848212640face374
"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНСТАНТИНОВО""",ЗАО КОНСТАНТИНОВО,5829060515,"440518, Пензенская обл., Пензенский район, с. Константиновка, ул. Советская, зд. 13", 53.138424, 44.750437,01.41,"Разведение молочного крупного рогатого скота, производство сырого молока",https://spark-interfax.ru/penzenskaya-oblast-penzenski-raion/ao-konstantinovo-inn-5829060515-ogrn-1025801017120-21deea381e864303b311aac3b8fda747
