Название,Название Кратко,ИНН,адрес,lat,lon,Код оквэд,Основной вид деятельности,Ссылка
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ГОСУДАРСТВЕННЫЙ ПРИРОДНЫЙ ЗАПОВЕДНИК ""ПРИВОЛЖСКАЯ ЛЕСОСТЕПЬ""",ФГБУ ГОСУДАРСТВЕННЫЙ ЗАПОВЕДНИК ПРИВОЛЖСКАЯ ЛЕСОСТЕПЬ,1025801367910,"440031, Пензенская обл., г. Пенза, ул. Окружная, д. 12А", 53.167991, 44.975900,91.04,"Деятельность ботанических садов, зоопарков, государственных природных заповедников и национальных парков",https://spark-interfax.ru/penzenskaya-oblast-penza/fgbu-gosudarstvenny-zapovednik-privolzhskaya-lesostep-inn-5803007330-ogrn-1025801367910-6906d9917d06226ae0531b9aa8c04bb6
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО БАНК ""КУЗНЕЦКИЙ""",ПАО БАНК КУЗНЕЦКИЙ,5836900162,"440026, Пензенская обл., г. Пенза, ул. Красная, д. 104", 53.192197, 45.009391,64.19,Денежное посредничество прочее,https://spark-interfax.ru/penzenskaya-oblast-penza/pao-kuznetski-inn-5836900162-ogrn-1125800000094-8e8f9027938f42879f6c4cac60c01cbb
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИТАЛАБ""",ООО ВИТАЛАБ,5837073941,"440046, Пензенская обл., г. Пенза, ул. Мира, д. 63 пом. 2", 53.187226, 44.965143,86.90,Деятельность в области медицины прочая,https://spark-interfax.ru/penzenskaya-oblast-penza/ooo-vitalab-inn-5837073941-ogrn-1185835014738-7828da7dbb243578e0531f9aa8c0ce7e
"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СИСТЕМЫ СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ""ОБЛАСТНОЙ СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ ДЕТЕЙ И МОЛОДЫХ ИНВАЛИДОВ""",ГБУ ССЗН ОБЛАСТНОЙ СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ ДЕТЕЙ И МОЛОДЫХ ИНВАЛИДОВ,1035801700263,"440000, Пензенская обл., Пензенский район, пос. Кичкилейка, ул. Санаторская, д. 9А", 53.120719, 45.151288,87.90,Деятельность по уходу с обеспечением проживания прочая,https://spark-interfax.ru/penzenskaya-oblast-penzenski-raion/gbu-oblastnoi-sotsialno-reabilitatsionny-tsentr-dlya-detei-i-molodykh-invalidov-inn-5829011187-ogrn-1035801700263-6906d9917418226ae0531b9aa8c04bb6
"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ПЕНЗЕНСКОЙ ОБЛАСТИ ""НИКОЛЬСКИЙ ЛЕСХОЗ""",ГАУ ПО НИКОЛЬСКИЙ ЛЕСХОЗ,1025800960503,"442680, Пензенская обл., Никольский район, г. Никольск, ул. Белинского, д. 26 к. А", 53.708282, 46.074439,02.10,Лесоводство и прочая лесохозяйственная деятельность,https://spark-interfax.ru/penzenskaya-oblast-nikolski-raion/gau-nikolski-leskhoz-inn-5826000853-ogrn-1025800960503-6906d99174a6226ae0531b9aa8c04bb6
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МЕДИКО-САНИТАРНАЯ ЧАСТЬ № 59 ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА""",ФГБУЗ МСЧ № 59 ФМБА РОССИИ,1025801500196,"442960, Пензенская обл., г. Заречный, ул. Спортивная, стр. 8", 53.194250, 45.178676,86.10,Деятельность больничных организаций,https://spark-interfax.ru/penzenskaya-oblast-zarechny/fgbu-fgbuz-msch-n-fmba-rossii-inn-5838000569-ogrn-1025801500196-6906d9917d8b226ae0531b9aa8c04bb6
"ПЕНЗЕНСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""РОССИЙСКИЙ КРАСНЫЙ КРЕСТ""",ПЕНЗЕНСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ РОССИЙСКИЙ КРАСНЫЙ КРЕСТ,1035800005867,"440000, Пензенская обл, г.о. город Пенза, г Пенза, ул Володарского, стр. 56", 53.193443, 45.013559,94.99,"Деятельность прочих общественных организаций и некоммерческих организаций, кроме религиозных и политических организаций",https://spark-interfax.ru/penzenskaya-oblast-penza/oo-rossiski-krasny-krest-inn-5836110260-ogrn-1035800005867-6906d991654c226ae0531b9aa8c04bb6
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ПЕНЗЕНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""","ФГБОУ ВО ПГУ, ПЕНЗЕНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ, ФГБОУ ВО ПЕНЗЕНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ",1025801440620,"440026, Пензенская обл., г. Пенза, ул. Красная, д. 40", 53.181510, 45.005652,85.22,Образование высшее,https://spark-interfax.ru/penzenskaya-oblast-penza/fgbu-pgu-penzenski-gosudarstvenny-universitet-fgbou-vo-penzenski-gosudarstvenny-universitet-inn-5837003736-ogrn-1025801440620-6906d9917439226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ХОЛДИНГОВАЯ КОМПАНИЯ ""АГРОХОЛДИНГ""",ООО ХОЛДИНГОВАЯ КОМПАНИЯ АГРОХОЛДИНГ,6452078204,"442400, Пензенская обл., Пензенский район, с. Кондоль, ул. Саратовская, д. 5", 52.815763, 45.056142,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/penzenskaya-oblast-penzenski-raion/ooo-agrokholding-inn-6452078204-ogrn-1036405203174-2a4c3bdc31bb4b6f8132a9e4e73625ad
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ПЕНЗЕНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ АРХИТЕКТУРЫ И СТРОИТЕЛЬСТВА""","ПЕНЗЕНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ АРХИТЕКТУРЫ И СТРОИТЕЛЬСТВА, ПГУАС",1025801202624,"440028, Пензенская обл., г. Пенза, ул. Германа Титова, д. 28", 53.223792, 44.980931,85.22,Образование высшее,https://spark-interfax.ru/penzenskaya-oblast-penza/fgbu-penzenski-gosudarstvenny-universitet-arkhitektury-i-stroitelstva-pguas-inn-5835000786-ogrn-1025801202624-6906d991743a226ae0531b9aa8c04bb6
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ПЕНЗЕНСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ""","ПЕНЗЕНСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ, ПЕНЗГТУ, ФГБОУ ВО ПЕНЗЕНСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ",1045802502690,"440039, Пензенская обл., г. Пенза, ул. Байдукова Проезд/Гагарина Ул, д. 1А/11", 53.200001, 45.000000,85.22,Образование высшее,https://spark-interfax.ru/penzenskaya-oblast-penza/fgbu-penzenski-gosudarstvenny-tekhnologicheski-universitet-inn-5835055697-ogrn-1045802502690-6906d99185e5226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕКТР""",ООО СПЕКТР,5834021007,"440061, Пензенская обл., г. Пенза, ул. Каракозова, д. 44Ж", 53.213408, 45.015546,31.09,Производство прочей мебели,https://spark-interfax.ru/penzenskaya-oblast-penza/ooo-spektr-inn-5834021007-ogrn-1025801111335-b269666851c04e15a8cfec8ab43f4623
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЫСОКИЕ ЭНЕРГОСТРОИТЕЛЬНЫЕ ТЕХНОЛОГИИ""",ООО ВЭСТ,5836684401,"440046, Пензенская обл, г.о. город Пенза, г Пенза, ул Мира, стр. 9А, офис 207", 53.190969, 44.983146,42.21,"Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения",https://spark-interfax.ru/penzenskaya-oblast-penza/ooo-vest-inn-5836684401-ogrn-1175835016345-5c1a68d6742721c3e0531c9aa8c0192b
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""ТОЧНОЕМАШИНОСТРОЕНИЕ""",ООО НПП ТОМАСТ,5837053952,"440052, Пензенская обл., г. Пенза, ул. Баумана, стр. 30 корп. 16", 53.167499, 45.020309,25.62,Обработка металлических изделий механическая,https://spark-interfax.ru/penzenskaya-oblast-penza/ooo-tomast-inn-5837053952-ogrn-1135837001343-a73cd0755af348d9b236e530beb3dc1f
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМ-КОНСАЛТ""",ООО СМ-КОНСАЛТ,6455074180,"410004, Саратовская обл., г. Саратов, ул. Шелковичная, д. ЗД 84/86 стр. 1 офис 4", 51.529372, 45.999853,69.10,Деятельность в области права,https://spark-interfax.ru/saratovskaya-oblast-saratov/ooo-sm-konsalt-inn-6455074180-ogrn-1206400013676-acf6da291e507c93e053189aa8c03693
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮВЕНТА""",ООО ЮВЕНТА,5834122911,"440007, Пензенская обл., г. Пенза, ул. Чернышевского, домовладение 23", 53.203696, 45.044809,26.12,Производство электронных печатных плат,https://spark-interfax.ru/penzenskaya-oblast-penza/ooo-yuventa-inn-5834122911-ogrn-1195835003968-8182536d97a2047ae0531b9aa8c0be4b
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""НОВОТЕХ""",ООО НПП НОВОТЕХ,5837080120,"440039, Пензенская обл, г.о. город Пенза, г Пенза, ул Гагарина, стр. 11А", 53.223306, 45.000889,72.19,Научные исследования и разработки в области естественных и технических наук прочие,https://spark-interfax.ru/penzenskaya-oblast-penza/ooo-npp-novotekh-inn-5837080120-ogrn-1215800003429-c0c43a2f97e87068e053219aa8c0c2c1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОБЛЕПИХА ГРУПП""",ООО ОБЛЕПИХА,5800001838,"440031, Пензенская обл, г.о. город Пенза, г Пенза, ул Кижеватова, д. 15, кв. 131", 53.164247, 44.982023,72.19,Научные исследования и разработки в области естественных и технических наук прочие,https://spark-interfax.ru/penzenskaya-oblast-penza/ooo-oblepikha-inn-5800001838-ogrn-1245800000082-0edfe0e4e1cc265de063259aa8c031cc
"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ПЕНЗЕНСКОЙ ОБЛАСТИ ""КУЗНЕЦКИЙ МНОГОПРОФИЛЬНЫЙ КОЛЛЕДЖ""",ГБПОУ КМК,1095803000028,"442530, Пензенская обл., г. Кузнецк, ул. Ленина, д. 246", 53.119409, 46.601161,85.21,Образование профессиональное среднее,https://spark-interfax.ru/penzenskaya-oblast-kuznetsk/gbu-kmk-inn-5803019167-ogrn-1095803000028-6906d9919ff3226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕФЕЙ""",ООО ЦЕФЕЙ,6370001835,"446970, Самарская обл., Камышлинский район, с. Камышла, ул. Победы, д. 76", 54.123559, 52.144440,56.10,Деятельность ресторанов и услуги по доставке продуктов питания,https://spark-interfax.ru/samarskaya-oblast-kamyshlinski-raion/ooo-tsefei-inn-6370001835-ogrn-1026303656840-3f50782727a44ebe8ea491e11d5521ef
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""САМАРСКИЙ ГОСУДАРСТВЕННЫЙ СОЦИАЛЬНО-ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ""","САМАРСКИЙ ГОСУДАРСТВЕННЫЙ СОЦИАЛЬНО-ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ, СГСПУ, ФГБОУ ВО САМАРСКИЙ ГОСУДАРСТВЕННЫЙ СОЦИАЛЬНО-ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ",1036300661242,"443099, Самарская обл., г. Самара, ул. Максима Горького, д. 65/67", 53.184215, 50.077050,85.22,Образование высшее,https://spark-interfax.ru/samarskaya-oblast-samara/fgbu-samarski-gosudarstvenny-sotsialno-pedagogicheski-universitet-inn-6317008539-ogrn-1036300661242-6906d9584c41226ae0531b9aa8c04bb6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УК ""ЭНЕРДЖИ""",ООО УК ЭНЕРДЖИ,6324079210,"445037, Самарская обл, г.о. Тольятти, г Тольятти, ул Свердлова, влд. 15Б, офис 201А", 53.527118, 49.293221,68.32,Управление недвижимым имуществом за вознаграждение или на договорной основе,https://spark-interfax.ru/samarskaya-oblast-tolyatti/ooo-enerdzhi-inn-6324079210-ogrn-1176313015812-5ed605dd6dc64fac83a1f4c1ea12e6c3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БОРМА""",ООО БОРМА,6376028424,"446873, Самарская обл., Елховский район, с. Борма, ул. Школьная, д. 73", 54.022231, 50.254714,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",https://spark-interfax.ru/samarskaya-oblast-elkhovski-raion/ooo-borma-inn-6376028424-ogrn-1186313110785-42a2b9f870434e09b10af793b4e44640
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОТАВА""",ООООТАВА,6372007776,"446802, Самарская обл., Кошкинский район, с. Надеждино, ул. Центральная, зд. 52", 54.112628, 50.369621,01.1,Выращивание однолетних культур,https://spark-interfax.ru/samarskaya-oblast-koshkinski-raion/ooo-otava-inn-6372007776-ogrn-1026303714656-333ccf799a4c41ecbe67956420ef9867
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СЕЛЬСКОХОЗЯЙСТВЕННОЕ ПРЕДПРИЯТИЕ "" КАРМАЛА""",ООО СХП КАРМАЛА,6374006591,"446812, Самарская обл., Кошкинский район, с. Новая Кармала, ул. Рабочая, д. 36", 54.380016, 50.323802,01.11.1,Выращивание зерновых культур,https://spark-interfax.ru/samarskaya-oblast-koshkinski-raion/ooo-karmala-inn-6374006591-ogrn-1036302721707-3744d52853a24a9bb4116a76a1177b8f
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СЕЛЬСКОХОЗЯЙСТВЕННОЕ ПРЕДПРИЯТИЕ ""ЗАЛЕСЬЕ""",ООО СХП ЗАЛЕСЬЕ,6374006506,"446817, Самарская обл., Кошкинский район, с. Залесье, ул. Школьная, д. 20 к. А", 54.249573, 50.554647,01.11.1,Выращивание зерновых культур,https://spark-interfax.ru/samarskaya-oblast-koshkinski-raion/ooo-zalese-inn-6374006506-ogrn-1036302721069-90a18480d6ea4df3ac59e70dfe954a1e
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СЕЛЬСКОХОЗЯЙСТВЕННОЕ ПРЕДПРИЯТИЕ ""ЛОЗОВСКОЕ""",ООО СХП ЛОЗОВСКОЕ,6372007374,"446345, Самарская обл, м.р-н Кинель-Черкасский, с.п. Новые Ключи, с Лозовка, ул Центральная, д. 4", 53.402454, 51.803525,01.11.1,Выращивание зерновых культур,https://spark-interfax.ru/samarskaya-oblast-kinel-cherkasski-raion/ooo-lozovskoe-inn-6372007374-ogrn-1026303714260-eada461be5844b28891767765d7a9478
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СЕЛЬСКОХОЗЯЙСТВЕННОЕ ПРЕДПРИЯТИЕ ""РОМАНОВКА""",ООО СП РОМАНОВКА,6374006418,"446815, Самарская обл., Кошкинский район, с. Большая Романовка, ул. Романовская, зд. 54А", 54.290981, 50.483945,01.11.1,Выращивание зерновых культур,https://spark-interfax.ru/samarskaya-oblast-koshkinski-raion/ooo-romanovka-inn-6374006418-ogrn-1036302720651-ecd55c47490947749d1cfa77991d3d85
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""АССОЦИАЦИЯ РАЗВИТИЯ И ПОДДЕРЖКИ ИСПОЛНИТЕЛЬСКОГО ИСКУССТВА МУЗЫКАНТОВ ПОВОЛЖЬЯ""",АНО АССОЦИАЦИЯ РАЗВИТИЯ И ПОДДЕРЖКИ ИСПОЛНИТЕЛЬСКОГО ИСКУССТВА МУЗЫКАНТОВ ПОВОЛЖЬЯ,1116300005326,"443013, Самарская обл., г. Самара, ул. Киевская, д. 13 офис 49", 53.197283, 50.153807,90.01,Деятельность в области исполнительских искусств,https://spark-interfax.ru/samarskaya-oblast-samara/ano-assotsiatsiya-razvitiya-i-podderzhki-ispolnitelskogo-iskusstva-muzykantov-povolzhya-inn-6311997974-ogrn-1116300005326-6906d959463d226ae0531b9aa8c04bb6
